iri,equivalent_class
TBD:0000316,DOID:0050340
TBD:0000317,DOID:0050352
TBD:0000318,DOID:0050353
TBD:0000319,DOID:0050354
TBD:0000320,DOID:0050382
TBD:0000321,DOID:0050383
TBD:0000322,DOID:0050398
TBD:0000323,DOID:0050424
TBD:0000324,DOID:0050440
TBD:0000325,DOID:0050449
TBD:0000326,DOID:0050453
TBD:0000327,DOID:0050456
TBD:0000328,DOID:0050459
TBD:0000329,DOID:0050480
TBD:0000330,DOID:0050481
TBD:0000331,DOID:0050484
TBD:0000332,DOID:0050485
TBD:0000333,DOID:0050488
TBD:0000334,DOID:0050489
TBD:0000335,DOID:0050490
TBD:0000336,DOID:0050491
TBD:0000337,DOID:0050495
TBD:0000338,DOID:0050508
TBD:0000339,DOID:0050513
TBD:0000340,DOID:0050514
TBD:0000341,DOID:0050515
TBD:0000342,DOID:0050516
TBD:0000343,DOID:0050517
TBD:0000344,DOID:0050518
TBD:0000345,DOID:0050521
TBD:0000346,DOID:0050522
TBD:0000347,DOID:0050523
TBD:0000348,DOID:0050537
TBD:0000349,DOID:0050538
TBD:0000350,DOID:0050543
TBD:0000351,DOID:0050544
TBD:0000352,DOID:0050548
TBD:0000353,DOID:0050549
TBD:0000354,DOID:0050553
TBD:0000355,DOID:0050558
TBD:0000356,DOID:0050560
TBD:0000357,DOID:0050562
TBD:0000358,DOID:0050567
TBD:0000359,DOID:0050568
TBD:0000360,DOID:0050573
TBD:0000361,DOID:0050575
TBD:0000362,DOID:0050577
TBD:0000363,DOID:0050584
TBD:0000364,DOID:0050590
TBD:0000365,DOID:0050593
TBD:0000366,DOID:0050594
TBD:0000367,DOID:0050596
TBD:0000368,DOID:0050598
TBD:0000369,DOID:0050599
TBD:0000370,DOID:0050608
TBD:0000371,DOID:0050610
TBD:0000372,DOID:0050611
TBD:0000373,DOID:0050612
TBD:0000374,DOID:0050613
TBD:0000375,DOID:0050614
TBD:0000376,DOID:0050615
TBD:0000377,DOID:0050616
TBD:0000378,DOID:0050617
TBD:0000379,DOID:0050618
TBD:0000380,DOID:0050619
TBD:0000381,DOID:0050620
TBD:0000382,DOID:0050621
TBD:0000383,DOID:0050622
TBD:0000384,DOID:0050623
TBD:0000385,DOID:0050624
TBD:0000386,DOID:0050626
TBD:0000387,DOID:0050642
TBD:0000388,DOID:0050643
TBD:0000389,DOID:0050648
TBD:0000390,DOID:0050661
TBD:0000391,DOID:0050663
TBD:0000392,DOID:0050665
TBD:0000393,DOID:0050666
TBD:0000394,DOID:0050667
TBD:0000395,DOID:0050668
TBD:0000396,DOID:0050669
TBD:0000397,DOID:0050670
TBD:0000398,DOID:0050671
TBD:0000399,DOID:0050672
TBD:0000400,DOID:0050673
TBD:0000401,DOID:0050674
TBD:0000402,DOID:0050685
TBD:0000403,DOID:0050686
TBD:0000404,DOID:0050687
TBD:0000405,DOID:0050688
TBD:0000406,DOID:0050694
TBD:0000407,DOID:0050695
TBD:0000408,DOID:0050696
TBD:0000409,DOID:0050697
TBD:0000410,DOID:0050698
TBD:0000411,DOID:0050701
TBD:0000412,DOID:0050702
TBD:0000413,DOID:0050703
TBD:0000414,DOID:0050704
TBD:0000415,DOID:0050705
TBD:0000416,DOID:0050706
TBD:0000417,DOID:0050708
TBD:0000418,DOID:0050709
TBD:0000419,DOID:0050710
TBD:0000420,DOID:0050719
TBD:0000421,DOID:0050721
TBD:0000422,DOID:0050728
TBD:0000423,DOID:0050730
TBD:0000424,DOID:0050731
TBD:0000425,DOID:0050735
TBD:0000426,DOID:0050736
