mondo_id	xref	xref_source	xref_source
MONDO:0006713	EFO:1000880	MONDO:EFO	MONDO:equivalentTo
MONDO:0006720	EFO:1000889	MONDO:EFO	MONDO:equivalentTo
MONDO:0006718	EFO:1000887	MONDO:EFO	MONDO:equivalentTo
MONDO:0005093	EFO:0000701	MONDO:EFO	MONDO:equivalentTo
MONDO:0005976	EFO:0007504	MONDO:EFO	MONDO:equivalentTo
MONDO:0009761	EFO:1000888	MONDO:EFO	MONDO:equivalentTo
MONDO:0005294	EFO:0003875	MONDO:EFO	MONDO:equivalentTo
MONDO:0012819	EFO:1000897	MONDO:EFO	MONDO:equivalentTo
MONDO:0019373	EFO:1000895	MONDO:EFO	MONDO:equivalentTo
MONDO:0006722	EFO:1000892	MONDO:EFO	MONDO:equivalentTo
MONDO:0006999	EFO:1001216	MONDO:EFO	MONDO:equivalentTo
MONDO:0006723	EFO:1000893	MONDO:EFO	MONDO:equivalentTo
MONDO:0009072	EFO:1000890	MONDO:EFO	MONDO:equivalentTo
MONDO:0006721	EFO:1000891	MONDO:EFO	MONDO:equivalentTo
MONDO:0005381	EFO:0004260	MONDO:EFO	MONDO:equivalentTo
MONDO:0006727	EFO:1000899	MONDO:EFO	MONDO:equivalentTo
MONDO:0005009	EFO:0000373	MONDO:EFO	MONDO:equivalentTo
MONDO:0004989	EFO:0000305	MONDO:EFO	MONDO:equivalentTo
MONDO:0005401	EFO:0004288	MONDO:EFO	MONDO:equivalentTo
MONDO:0011782	EFO:1000805	MONDO:EFO	MONDO:equivalentTo
MONDO:0006645	EFO:1000803	MONDO:EFO	MONDO:equivalentTo
MONDO:0006643	EFO:1000801	MONDO:EFO	MONDO:equivalentTo
MONDO:0004994	EFO:0000318	MONDO:EFO	MONDO:equivalentTo
MONDO:0006644	EFO:1000802	MONDO:EFO	MONDO:equivalentTo
MONDO:0005155	EFO:0001422	MONDO:EFO	MONDO:equivalentTo
MONDO:0006642	EFO:1000800	MONDO:EFO	MONDO:equivalentTo
MONDO:0006649	EFO:1000809	MONDO:EFO	MONDO:equivalentTo
MONDO:0006647	EFO:1000807	MONDO:EFO	MONDO:equivalentTo
MONDO:0006656	EFO:1000816	MONDO:EFO	MONDO:equivalentTo
MONDO:0005561	EFO:0005775	MONDO:EFO	MONDO:equivalentTo
MONDO:0006654	EFO:1000814	MONDO:EFO	MONDO:equivalentTo
MONDO:0005267	EFO:0003777	MONDO:EFO	MONDO:equivalentTo
MONDO:0006652	EFO:1000812	MONDO:EFO	MONDO:equivalentTo
MONDO:0006653	EFO:1000813	MONDO:EFO	MONDO:equivalentTo
MONDO:0006650	EFO:1000810	MONDO:EFO	MONDO:equivalentTo
MONDO:0007150	EFO:1000818	MONDO:EFO	MONDO:equivalentTo
MONDO:0006658	EFO:1000819	MONDO:EFO	MONDO:equivalentTo
MONDO:0006659	EFO:1000820	MONDO:EFO	MONDO:equivalentTo
MONDO:0006666	EFO:1000827	MONDO:EFO	MONDO:equivalentTo
MONDO:0020322	EFO:1000828	MONDO:EFO	MONDO:equivalentTo
MONDO:0006664	EFO:1000825	MONDO:EFO	MONDO:equivalentTo
MONDO:0006662	EFO:1000823	MONDO:EFO	MONDO:equivalentTo
MONDO:0004796	EFO:0000584	MONDO:EFO	MONDO:equivalentTo
MONDO:0006663	EFO:1000824	MONDO:EFO	MONDO:equivalentTo
MONDO:0005087	EFO:0000684	MONDO:EFO	MONDO:equivalentTo
MONDO:0006660	EFO:1000821	MONDO:EFO	MONDO:equivalentTo
MONDO:0007004	EFO:1001222	MONDO:EFO	MONDO:equivalentTo
MONDO:0006668	EFO:1000829	MONDO:EFO	MONDO:equivalentTo
MONDO:0006170	EFO:1000203	MONDO:EFO	MONDO:equivalentTo
MONDO:0006670	EFO:1000831	MONDO:EFO	MONDO:equivalentTo
MONDO:0005140	EFO:0001075	MONDO:EFO	MONDO:equivalentTo
MONDO:0006641	EFO:1000799	MONDO:EFO	MONDO:equivalentTo
MONDO:0005283	EFO:0003839	MONDO:EFO	MONDO:equivalentTo
MONDO:0005046	EFO:0000540	MONDO:EFO	MONDO:equivalentTo
MONDO:0006779	EFO:1000959	MONDO:EFO	MONDO:equivalentTo
MONDO:0006858	EFO:1001047	MONDO:EFO	MONDO:equivalentTo
MONDO:0006778	EFO:1000958	MONDO:EFO	MONDO:equivalentTo
MONDO:0000889	EFO:1000955	MONDO:EFO	MONDO:equivalentTo
MONDO:0018935	EFO:1000956	MONDO:EFO	MONDO:equivalentTo
MONDO:0006054	EFO:1000051	MONDO:EFO	MONDO:equivalentTo
MONDO:0006783	EFO:1000963	MONDO:EFO	MONDO:equivalentTo
MONDO:0006781	EFO:1000961	MONDO:EFO	MONDO:equivalentTo
MONDO:0006789	EFO:1000969	MONDO:EFO	MONDO:equivalentTo
MONDO:0005570	EFO:0005803	MONDO:EFO	MONDO:equivalentTo
MONDO:0006786	EFO:1000966	MONDO:EFO	MONDO:equivalentTo
MONDO:0005385	EFO:0004264	MONDO:EFO	MONDO:equivalentTo
MONDO:0006787	EFO:1000967	MONDO:EFO	MONDO:equivalentTo
MONDO:0006784	EFO:1000964	MONDO:EFO	MONDO:equivalentTo
MONDO:0005137	EFO:0001069	MONDO:EFO	MONDO:equivalentTo
MONDO:0006793	EFO:1000973	MONDO:EFO	MONDO:equivalentTo
MONDO:0005151	EFO:0001379	MONDO:EFO	MONDO:equivalentTo
MONDO:0006794	EFO:1000974	MONDO:EFO	MONDO:equivalentTo
MONDO:0006790	EFO:1000970	MONDO:EFO	MONDO:equivalentTo
MONDO:0006799	EFO:1000979	MONDO:EFO	MONDO:equivalentTo
MONDO:0006797	EFO:1000977	MONDO:EFO	MONDO:equivalentTo
MONDO:0006798	EFO:1000978	MONDO:EFO	MONDO:equivalentTo
MONDO:0006796	EFO:1000976	MONDO:EFO	MONDO:equivalentTo
MONDO:0005156	EFO:0001423	MONDO:EFO	MONDO:equivalentTo
MONDO:0006804	EFO:1000984	MONDO:EFO	MONDO:equivalentTo
MONDO:0004988	EFO:0000304	MONDO:EFO	MONDO:equivalentTo
MONDO:0006805	EFO:1000985	MONDO:EFO	MONDO:equivalentTo
MONDO:0006802	EFO:1000982	MONDO:EFO	MONDO:equivalentTo
MONDO:0006803	EFO:1000983	MONDO:EFO	MONDO:equivalentTo
MONDO:0006800	EFO:1000980	MONDO:EFO	MONDO:equivalentTo
MONDO:0006801	EFO:1000981	MONDO:EFO	MONDO:equivalentTo
MONDO:0006807	EFO:1000987	MONDO:EFO	MONDO:equivalentTo
MONDO:0006813	EFO:1000995	MONDO:EFO	MONDO:equivalentTo
MONDO:0006811	EFO:1000993	MONDO:EFO	MONDO:equivalentTo
MONDO:0006812	EFO:1000994	MONDO:EFO	MONDO:equivalentTo
MONDO:0006809	EFO:1000991	MONDO:EFO	MONDO:equivalentTo
MONDO:0006810	EFO:1000992	MONDO:EFO	MONDO:equivalentTo
MONDO:0005044	EFO:0000537	MONDO:EFO	MONDO:equivalentTo
MONDO:0006808	EFO:1000990	MONDO:EFO	MONDO:equivalentTo
MONDO:0005172	EFO:0002461	MONDO:EFO	MONDO:equivalentTo
MONDO:0006815	EFO:1000998	MONDO:EFO	MONDO:equivalentTo
MONDO:0005522	EFO:0005588	MONDO:EFO	MONDO:equivalentTo
MONDO:0006732	EFO:1000904	MONDO:EFO	MONDO:equivalentTo
MONDO:8000000	EFO:1000900	MONDO:EFO	MONDO:equivalentTo
MONDO:0006987	EFO:1001199	MONDO:EFO	MONDO:equivalentTo
MONDO:0006735	EFO:1000909	MONDO:EFO	MONDO:equivalentTo
MONDO:0007186	EFO:0003948	MONDO:EFO	MONDO:equivalentTo
MONDO:0006733	EFO:1000906	MONDO:EFO	MONDO:equivalentTo
MONDO:0006734	EFO:1000907	MONDO:EFO	MONDO:equivalentTo
MONDO:0005165	EFO:0002422	MONDO:EFO	MONDO:equivalentTo
MONDO:0006741	EFO:1000915	MONDO:EFO	MONDO:equivalentTo
MONDO:0006742	EFO:1000916	MONDO:EFO	MONDO:equivalentTo
MONDO:0006739	EFO:1000913	MONDO:EFO	MONDO:equivalentTo
MONDO:0006740	EFO:1000914	MONDO:EFO	MONDO:equivalentTo
MONDO:0006737	EFO:1000911	MONDO:EFO	MONDO:equivalentTo
MONDO:0006738	EFO:1000912	MONDO:EFO	MONDO:equivalentTo
MONDO:0006736	EFO:1000910	MONDO:EFO	MONDO:equivalentTo
MONDO:0006744	EFO:1000918	MONDO:EFO	MONDO:equivalentTo
MONDO:0018153	EFO:1000926	MONDO:EFO	MONDO:equivalentTo
MONDO:0006748	EFO:1000924	MONDO:EFO	MONDO:equivalentTo
MONDO:0005027	EFO:0000474	MONDO:EFO	MONDO:equivalentTo
MONDO:0006747	EFO:1000922	MONDO:EFO	MONDO:equivalentTo
MONDO:0006746	EFO:1000921	MONDO:EFO	MONDO:equivalentTo
MONDO:0005201	EFO:0002630	MONDO:EFO	MONDO:equivalentTo
MONDO:0006752	EFO:1000928	MONDO:EFO	MONDO:equivalentTo
MONDO:0006753	EFO:1000929	MONDO:EFO	MONDO:equivalentTo
MONDO:0006760	EFO:1000937	MONDO:EFO	MONDO:equivalentTo
MONDO:0006761	EFO:1000938	MONDO:EFO	MONDO:equivalentTo
MONDO:0006758	EFO:1000935	MONDO:EFO	MONDO:equivalentTo
MONDO:0006757	EFO:1000933	MONDO:EFO	MONDO:equivalentTo
MONDO:0006322	EFO:1000400	MONDO:EFO	MONDO:equivalentTo
MONDO:0006755	EFO:1000931	MONDO:EFO	MONDO:equivalentTo
MONDO:0006762	EFO:1000939	MONDO:EFO	MONDO:equivalentTo
MONDO:0007753	EFO:1000940	MONDO:EFO	MONDO:equivalentTo
MONDO:0006763	EFO:1000941	MONDO:EFO	MONDO:equivalentTo
MONDO:0009264	EFO:1000949	MONDO:EFO	MONDO:equivalentTo
MONDO:0007652	EFO:1000946	MONDO:EFO	MONDO:equivalentTo
MONDO:0006767	EFO:1000945	MONDO:EFO	MONDO:equivalentTo
MONDO:0006764	EFO:1000942	MONDO:EFO	MONDO:equivalentTo
MONDO:0006765	EFO:1000943	MONDO:EFO	MONDO:equivalentTo
MONDO:0005066	EFO:0000589	MONDO:EFO	MONDO:equivalentTo
MONDO:0006771	EFO:1000951	MONDO:EFO	MONDO:equivalentTo
MONDO:0006770	EFO:1000950	MONDO:EFO	MONDO:equivalentTo
MONDO:0005674	EFO:0007176	MONDO:EFO	MONDO:equivalentTo
MONDO:0005096	EFO:0000707	MONDO:EFO	MONDO:equivalentTo
MONDO:0005229	EFO:0003033	MONDO:EFO	MONDO:equivalentTo
MONDO:0001341	EFO:1001929	MONDO:EFO	MONDO:equivalentTo
MONDO:0005517	EFO:0005577	MONDO:EFO	MONDO:equivalentTo
MONDO:0005380	EFO:0004259	MONDO:EFO	MONDO:equivalentTo
MONDO:0006479	EFO:1000607	MONDO:EFO	MONDO:equivalentTo
MONDO:0005184	EFO:0002517	MONDO:EFO	MONDO:equivalentTo
MONDO:0005028	EFO:0000478	MONDO:EFO	MONDO:equivalentTo
MONDO:0005833	EFO:0007352	MONDO:EFO	MONDO:equivalentTo
MONDO:0006480	EFO:1000608	MONDO:EFO	MONDO:equivalentTo
MONDO:0006477	EFO:1000605	MONDO:EFO	MONDO:equivalentTo
MONDO:0005617	EFO:0006772	MONDO:EFO	MONDO:equivalentTo
MONDO:0006478	EFO:1000606	MONDO:EFO	MONDO:equivalentTo
MONDO:0004963	EFO:0000209	MONDO:EFO	MONDO:equivalentTo
MONDO:0004947	EFO:0000094	MONDO:EFO	MONDO:equivalentTo
MONDO:0006476	EFO:1000604	MONDO:EFO	MONDO:equivalentTo
MONDO:0018874	EFO:0000222	MONDO:EFO	MONDO:equivalentTo
MONDO:0007896	EFO:0000221	MONDO:EFO	MONDO:equivalentTo
MONDO:0006474	EFO:1000601	MONDO:EFO	MONDO:equivalentTo
MONDO:0004993	EFO:0000313	MONDO:EFO	MONDO:equivalentTo
MONDO:0006481	EFO:1000609	MONDO:EFO	MONDO:equivalentTo
MONDO:0005138	EFO:0001071	MONDO:EFO	MONDO:equivalentTo
MONDO:0005061	EFO:0000571	MONDO:EFO	MONDO:equivalentTo
MONDO:0006483	EFO:1000611	MONDO:EFO	MONDO:equivalentTo
MONDO:0005008	EFO:0000365	MONDO:EFO	MONDO:equivalentTo
MONDO:0006489	EFO:1000619	MONDO:EFO	MONDO:equivalentTo
MONDO:0006486	EFO:1000616	MONDO:EFO	MONDO:equivalentTo
MONDO:0004971	EFO:0000231	MONDO:EFO	MONDO:equivalentTo
MONDO:0020320	EFO:0003028	MONDO:EFO	MONDO:equivalentTo
MONDO:0006484	EFO:1000612	MONDO:EFO	MONDO:equivalentTo
MONDO:0005043	EFO:0000536	MONDO:EFO	MONDO:equivalentTo
MONDO:0006485	EFO:1000613	MONDO:EFO	MONDO:equivalentTo
MONDO:0005213	EFO:0002919	MONDO:EFO	MONDO:equivalentTo
MONDO:0006192	EFO:1000233	MONDO:EFO	MONDO:equivalentTo
MONDO:0005335	EFO:0004142	MONDO:EFO	MONDO:equivalentTo
MONDO:0006490	EFO:1000620	MONDO:EFO	MONDO:equivalentTo
MONDO:0019087	EFO:0005221	MONDO:EFO	MONDO:equivalentTo
MONDO:0005211	EFO:0002917	MONDO:EFO	MONDO:equivalentTo
MONDO:0006493	EFO:1000625	MONDO:EFO	MONDO:equivalentTo
MONDO:0006181	EFO:1000218	MONDO:EFO	MONDO:equivalentTo
MONDO:0006491	EFO:1000623	MONDO:EFO	MONDO:equivalentTo
MONDO:0005215	EFO:0002921	MONDO:EFO	MONDO:equivalentTo
MONDO:0007243	EFO:0000309	MONDO:EFO	MONDO:equivalentTo
MONDO:0006497	EFO:1000632	MONDO:EFO	MONDO:equivalentTo
MONDO:0006496	EFO:1000631	MONDO:EFO	MONDO:equivalentTo
MONDO:0002701	EFO:1001963	MONDO:EFO	MONDO:equivalentTo
MONDO:0005858	EFO:0007378	MONDO:EFO	MONDO:equivalentTo
MONDO:0006498	EFO:1000633	MONDO:EFO	MONDO:equivalentTo
MONDO:0005079	EFO:0000662	MONDO:EFO	MONDO:equivalentTo
MONDO:0002702	EFO:1001962	MONDO:EFO	MONDO:equivalentTo
MONDO:0003210	EFO:1001961	MONDO:EFO	MONDO:equivalentTo
MONDO:0005216	EFO:0002938	MONDO:EFO	MONDO:equivalentTo
MONDO:0006504	EFO:1000639	MONDO:EFO	MONDO:equivalentTo
MONDO:0006056	EFO:1000053	MONDO:EFO	MONDO:equivalentTo
MONDO:0006502	EFO:1000637	MONDO:EFO	MONDO:equivalentTo
MONDO:0006500	EFO:1000635	MONDO:EFO	MONDO:equivalentTo
MONDO:0005275	EFO:0003818	MONDO:EFO	MONDO:equivalentTo
MONDO:0006506	EFO:1000641	MONDO:EFO	MONDO:equivalentTo
MONDO:0006505	EFO:1000640	MONDO:EFO	MONDO:equivalentTo
MONDO:0001825	EFO:1001970	MONDO:EFO	MONDO:equivalentTo
MONDO:0006509	EFO:1000646	MONDO:EFO	MONDO:equivalentTo
MONDO:0006512	EFO:1000649	MONDO:EFO	MONDO:equivalentTo
MONDO:0005152	EFO:0001380	MONDO:EFO	MONDO:equivalentTo
MONDO:0006510	EFO:1000647	MONDO:EFO	MONDO:equivalentTo
MONDO:0005240	EFO:0003086	MONDO:EFO	MONDO:equivalentTo
MONDO:0000158	EFO:1000648	MONDO:EFO	MONDO:equivalentTo
MONDO:0005497	EFO:0005541	MONDO:EFO	MONDO:equivalentTo
MONDO:0009770	EFO:1001978	MONDO:EFO	MONDO:equivalentTo
MONDO:0009927	EFO:1001977	MONDO:EFO	MONDO:equivalentTo
MONDO:0011479	EFO:1000645	MONDO:EFO	MONDO:equivalentTo
MONDO:0005626	EFO:0006858	MONDO:EFO	MONDO:equivalentTo
MONDO:0005098	EFO:0000712	MONDO:EFO	MONDO:equivalentTo
MONDO:0006515	EFO:1000652	MONDO:EFO	MONDO:equivalentTo
MONDO:0004982	EFO:0000278	MONDO:EFO	MONDO:equivalentTo
MONDO:0021167	EFO:0000783	MONDO:EFO	MONDO:equivalentTo
MONDO:0006513	EFO:1000650	MONDO:EFO	MONDO:equivalentTo
MONDO:0004980	EFO:0000274	MONDO:EFO	MONDO:equivalentTo
MONDO:0020128	EFO:0003782	MONDO:EFO	MONDO:equivalentTo
MONDO:0019127	EFO:0003063	MONDO:EFO	MONDO:equivalentTo
MONDO:0006518	EFO:1000656	MONDO:EFO	MONDO:equivalentTo
MONDO:0005357	EFO:0004226	MONDO:EFO	MONDO:equivalentTo
MONDO:0018882	EFO:0006803	MONDO:EFO	MONDO:equivalentTo
MONDO:0006524	EFO:1000665	MONDO:EFO	MONDO:equivalentTo
MONDO:0006523	EFO:1000664	MONDO:EFO	MONDO:equivalentTo
MONDO:0007048	EFO:1000666	MONDO:EFO	MONDO:equivalentTo
MONDO:0006566	EFO:1000720	MONDO:EFO	MONDO:equivalentTo
MONDO:0016367	EFO:0000398	MONDO:EFO	MONDO:equivalentTo
MONDO:0006520	EFO:1000661	MONDO:EFO	MONDO:equivalentTo
MONDO:0006521	EFO:1000662	MONDO:EFO	MONDO:equivalentTo
MONDO:0005249	EFO:0003106	MONDO:EFO	MONDO:equivalentTo
MONDO:0006526	EFO:1000669	MONDO:EFO	MONDO:equivalentTo
MONDO:0007070	EFO:1000667	MONDO:EFO	MONDO:equivalentTo
MONDO:0006574	EFO:1000728	MONDO:EFO	MONDO:equivalentTo
MONDO:0006525	EFO:1000668	MONDO:EFO	MONDO:equivalentTo
MONDO:0005480	EFO:0005319	MONDO:EFO	MONDO:equivalentTo
MONDO:0006531	EFO:1000676	MONDO:EFO	MONDO:equivalentTo
MONDO:0006533	EFO:1000678	MONDO:EFO	MONDO:equivalentTo
MONDO:0006532	EFO:1000677	MONDO:EFO	MONDO:equivalentTo
MONDO:0006527	EFO:1000670	MONDO:EFO	MONDO:equivalentTo
MONDO:0005383	EFO:0004262	MONDO:EFO	MONDO:equivalentTo
MONDO:0005618	EFO:0006788	MONDO:EFO	MONDO:equivalentTo
MONDO:0005159	EFO:0001663	MONDO:EFO	MONDO:equivalentTo
MONDO:0006541	EFO:1000690	MONDO:EFO	MONDO:equivalentTo
MONDO:0020332	EFO:1000559	MONDO:EFO	MONDO:equivalentTo
MONDO:0006438	EFO:1000557	MONDO:EFO	MONDO:equivalentTo
MONDO:0019392	EFO:1000558	MONDO:EFO	MONDO:equivalentTo
MONDO:0005550	EFO:0005741	MONDO:EFO	MONDO:equivalentTo
MONDO:0010108	EFO:1000566	MONDO:EFO	MONDO:equivalentTo
MONDO:0005040	EFO:0000514	MONDO:EFO	MONDO:equivalentTo
MONDO:0003508	EFO:1000564	MONDO:EFO	MONDO:equivalentTo
MONDO:0006446	EFO:1000565	MONDO:EFO	MONDO:equivalentTo
MONDO:0005564	EFO:0005784	MONDO:EFO	MONDO:equivalentTo
MONDO:0002522	EFO:1000562	MONDO:EFO	MONDO:equivalentTo
MONDO:0006444	EFO:1000563	MONDO:EFO	MONDO:equivalentTo
MONDO:0019468	EFO:1000560	MONDO:EFO	MONDO:equivalentTo
MONDO:0006442	EFO:1000561	MONDO:EFO	MONDO:equivalentTo
MONDO:0005167	EFO:0002424	MONDO:EFO	MONDO:equivalentTo
MONDO:0006447	EFO:1000570	MONDO:EFO	MONDO:equivalentTo
MONDO:0006452	EFO:1000577	MONDO:EFO	MONDO:equivalentTo
MONDO:0005197	EFO:0002626	MONDO:EFO	MONDO:equivalentTo
MONDO:0006450	EFO:1000575	MONDO:EFO	MONDO:equivalentTo
MONDO:0005170	EFO:0002427	MONDO:EFO	MONDO:equivalentTo
MONDO:0006451	EFO:1000576	MONDO:EFO	MONDO:equivalentTo
MONDO:0003402	EFO:1000574	MONDO:EFO	MONDO:equivalentTo
MONDO:0006455	EFO:1000580	MONDO:EFO	MONDO:equivalentTo
MONDO:0006462	EFO:1000587	MONDO:EFO	MONDO:equivalentTo
MONDO:0005062	EFO:0000574	MONDO:EFO	MONDO:equivalentTo
MONDO:0006459	EFO:1000584	MONDO:EFO	MONDO:equivalentTo
MONDO:0006460	EFO:1000585	MONDO:EFO	MONDO:equivalentTo
MONDO:0016975	EFO:1000582	MONDO:EFO	MONDO:equivalentTo
MONDO:0006458	EFO:1000583	MONDO:EFO	MONDO:equivalentTo
MONDO:0006464	EFO:1000591	MONDO:EFO	MONDO:equivalentTo
MONDO:0006465	EFO:1000592	MONDO:EFO	MONDO:equivalentTo
MONDO:0004970	EFO:0000228	MONDO:EFO	MONDO:equivalentTo
MONDO:0006463	EFO:1000590	MONDO:EFO	MONDO:equivalentTo
MONDO:0006470	EFO:1000597	MONDO:EFO	MONDO:equivalentTo
MONDO:0010150	EFO:0000181	MONDO:EFO	MONDO:equivalentTo
MONDO:0006471	EFO:1000598	MONDO:EFO	MONDO:equivalentTo
MONDO:0006468	EFO:1000595	MONDO:EFO	MONDO:equivalentTo
MONDO:0006466	EFO:1000593	MONDO:EFO	MONDO:equivalentTo
MONDO:0006467	EFO:1000594	MONDO:EFO	MONDO:equivalentTo
MONDO:0006563	EFO:1000717	MONDO:EFO	MONDO:equivalentTo
MONDO:0008420	EFO:0005584	MONDO:EFO	MONDO:equivalentTo
MONDO:0006564	EFO:1000718	MONDO:EFO	MONDO:equivalentTo
MONDO:0015614	EFO:1000684	MONDO:EFO	MONDO:equivalentTo
MONDO:0016566	EFO:1000729	MONDO:EFO	MONDO:equivalentTo
MONDO:0006572	EFO:1000726	MONDO:EFO	MONDO:equivalentTo
MONDO:0006570	EFO:1000724	MONDO:EFO	MONDO:equivalentTo
MONDO:0018830	EFO:1000722	MONDO:EFO	MONDO:equivalentTo
MONDO:0006578	EFO:1000732	MONDO:EFO	MONDO:equivalentTo
MONDO:0007908	EFO:1000737	MONDO:EFO	MONDO:equivalentTo
MONDO:0006583	EFO:1000738	MONDO:EFO	MONDO:equivalentTo
MONDO:0006581	EFO:1000735	MONDO:EFO	MONDO:equivalentTo
MONDO:0006579	EFO:1000733	MONDO:EFO	MONDO:equivalentTo
MONDO:0006591	EFO:1000746	MONDO:EFO	MONDO:equivalentTo
MONDO:0006590	EFO:1000745	MONDO:EFO	MONDO:equivalentTo
MONDO:0006585	EFO:1000740	MONDO:EFO	MONDO:equivalentTo
MONDO:0006593	EFO:1000748	MONDO:EFO	MONDO:equivalentTo
MONDO:0006594	EFO:1000749	MONDO:EFO	MONDO:equivalentTo
MONDO:0006592	EFO:1000747	MONDO:EFO	MONDO:equivalentTo
MONDO:0005083	EFO:0000676	MONDO:EFO	MONDO:equivalentTo
MONDO:0006589	EFO:1000744	MONDO:EFO	MONDO:equivalentTo
MONDO:0006598	EFO:1000753	MONDO:EFO	MONDO:equivalentTo
MONDO:0006597	EFO:1000752	MONDO:EFO	MONDO:equivalentTo
MONDO:0006599	EFO:1000754	MONDO:EFO	MONDO:equivalentTo
MONDO:0006603	EFO:1000759	MONDO:EFO	MONDO:equivalentTo
MONDO:0007047	EFO:1000758	MONDO:EFO	MONDO:equivalentTo
MONDO:0006601	EFO:1000756	MONDO:EFO	MONDO:equivalentTo
MONDO:0006606	EFO:1000762	MONDO:EFO	MONDO:equivalentTo
MONDO:0006607	EFO:1000763	MONDO:EFO	MONDO:equivalentTo
MONDO:0006604	EFO:1000760	MONDO:EFO	MONDO:equivalentTo
MONDO:0006610	EFO:1000766	MONDO:EFO	MONDO:equivalentTo
MONDO:0006611	EFO:1000767	MONDO:EFO	MONDO:equivalentTo
MONDO:0006618	EFO:1000775	MONDO:EFO	MONDO:equivalentTo
