mondo_id	subset	subset_source	impact
MONDO:0019587	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4181
MONDO:0007924	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	225
MONDO:0015531	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	5
MONDO:0021444	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	24
MONDO:0009841	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	144
MONDO:0009294	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	6111
MONDO:0001222	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	413
MONDO:0021375	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	68
MONDO:0013898	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	441
MONDO:0016785	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	45
MONDO:0009937	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	289
MONDO:0007211	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	112
MONDO:0013533	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	587
MONDO:0021358	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	60
MONDO:0009833	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	493
MONDO:0011227	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	213
MONDO:0011013	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2121
MONDO:0012648	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	435
MONDO:0019269	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	939
MONDO:0003608	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	740
MONDO:0016063	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	3008
MONDO:0021251	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1150
MONDO:0021003	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	509
MONDO:0007042	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	855
MONDO:0004938	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1071
MONDO:0001476	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	749
MONDO:0021232	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	54
MONDO:0005784	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	674
MONDO:0000171	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4324
MONDO:0004857	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	110
MONDO:0014250	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	454
MONDO:0007114	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	774
MONDO:0024296	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	115
MONDO:0000721	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	68
MONDO:0009697	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	771
MONDO:0034145	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	36
MONDO:0023149	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	138
MONDO:0017392	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	14
MONDO:0015892	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	286
MONDO:0008692	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	695
MONDO:0016761	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	106
MONDO:0008974	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	383
MONDO:0015137	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	167
MONDO:0008727	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	421
MONDO:0010888	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	106
MONDO:0010626	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	984
MONDO:0017417	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	672
MONDO:0021804	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	7
MONDO:0044794	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	212
MONDO:0015268	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	150
MONDO:0005090	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	46646
