defined_class	defined_class_label	location	location_label	location_match_property
http://purl.obolibrary.org/obo/MONDO_0000474	pericardium disease	http://purl.obolibrary.org/obo/UBERON_0002407	pericardium	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003620	peripheral nervous system disease	http://purl.obolibrary.org/obo/UBERON_0000010	peripheral nervous system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003381	pituitary gland disease	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005917	placenta disease	http://purl.obolibrary.org/obo/UBERON_0001987	placenta	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003628	pulmonary valve disease	http://purl.obolibrary.org/obo/UBERON_0002146	pulmonary valve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002285	pupil disease	http://purl.obolibrary.org/obo/UBERON_0001771	pupil	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005039	reproductive system disease	http://purl.obolibrary.org/obo/UBERON_0000990	reproductive system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006607	sebaceous gland disease	http://purl.obolibrary.org/obo/UBERON_0001821	sebaceous gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000469	sinoatrial node disease	http://purl.obolibrary.org/obo/UBERON_0002351	sinoatrial node	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005172	skeletal system disease	http://purl.obolibrary.org/obo/UBERON_0001434	skeletal system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002545	spinal cord disease	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004298	stomach disease	http://purl.obolibrary.org/obo/UBERON_0000945	stomach	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001597	submandibular gland disease	http://purl.obolibrary.org/obo/UBERON_0001736	submandibular gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006615	sweat gland disease	http://purl.obolibrary.org/obo/UBERON_0001820	sweat gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003240	thyroid gland disease	http://purl.obolibrary.org/obo/UBERON_0002046	thyroid gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001165	tongue disease	http://purl.obolibrary.org/obo/UBERON_0001723	tongue	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000471	tricuspid valve disease	http://purl.obolibrary.org/obo/UBERON_0002134	tricuspid valve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003543	trigeminal nerve disease	http://purl.obolibrary.org/obo/UBERON_0001645	trigeminal nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0007002	trochlear nerve disease	http://purl.obolibrary.org/obo/UBERON_0001644	trochlear nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003648	tympanic membrane disease	http://purl.obolibrary.org/obo/UBERON_0002364	tympanic membrane	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004867	upper respiratory tract disease	http://purl.obolibrary.org/obo/UBERON_0001557	upper respiratory tract	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006026	urinary bladder disease	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001535	vagus nerve disease	http://purl.obolibrary.org/obo/UBERON_0001759	vagus nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004634	vein disease	http://purl.obolibrary.org/obo/UBERON_0001638	vein	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000812	vertebral column disease	http://purl.obolibrary.org/obo/UBERON_0001130	vertebral column	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001563	vestibulocochlear nerve disease	http://purl.obolibrary.org/obo/UBERON_0001648	vestibulocochlear nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003584	visual cortex disease	http://purl.obolibrary.org/obo/UBERON_0000411	visual cortex	http://www.w3.org/2000/01/rdf-schema#label
