cls	xref
MONDO:0006705	"UMLS:C0085392"
MONDO:0006705	"MESH:D016866"
MONDO:0010350	"UMLS:C1845293"
MONDO:0010350	"MESH:C564498"
MONDO:0010350	"OMIM:300511"
MONDO:0010350	"DOID:0080858"
MONDO:1010666	"OMIA:001353-9615"
MONDO:0044311	"DOID:0070415"
MONDO:0044311	"OMIM:617412"
MONDO:0044311	"UMLS:C4479431"
MONDO:0013744	"OMIM:614422"
MONDO:0013744	"UMLS:C3280758"
MONDO:0013744	"GARD:15800"
MONDO:0013744	"DOID:0110252"
MONDO:0021327	"NCIT:C9106"
MONDO:0021327	"SCTID:448954003"
MONDO:0021503	"UMLS:C0345912"
MONDO:0021503	"NCIT:C4440"
MONDO:0021503	"SCTID:92117002"
MONDO:0021503	"DOID:0080640"
MONDO:0003687	"UMLS:C0346612"
MONDO:0003687	"NCIT:C4570"
MONDO:0003687	"SCTID:363436001"
MONDO:0003687	"DOID:5877"
MONDO:0016110	"UMLS:C1828221"
MONDO:0016110	"SCTID:424795008"
MONDO:0016110	"NCIT:C122787"
MONDO:0016110	"Orphanet:206656"
MONDO:0016110	"NANDO:1200496"
MONDO:0016110	"GARD:20363"
MONDO:1010571	"OMIA:000279-10141"
MONDO:0011095	"OMIM:601494"
MONDO:0011095	"MESH:C563306"
MONDO:0011095	"UMLS:C1832243"
MONDO:0011095	"DOID:0110426"
MONDO:0011095	"GARD:15332"
MONDO:0011752	"OMIM:606966"
MONDO:0011752	"SCTID:446989009"
MONDO:0011752	"UMLS:C1847013"
MONDO:0011752	"DOID:0111115"
MONDO:0011752	"MESH:C564640"
MONDO:0002999	"NCIT:C7009"
MONDO:0002999	"DOID:4438"
MONDO:0015729	"SCTID:764621006"
MONDO:0015729	"GARD:18741"
MONDO:0015729	"Orphanet:1708"
MONDO:0015729	"MESH:C538041"
MONDO:0020755	"SCTID:233916004"
MONDO:0013931	"NCIT:C155755"
MONDO:0013931	"DOID:0081433"
MONDO:0013931	"UMLS:C3553937"
MONDO:0013931	"GARD:15860"
MONDO:0013931	"OMIM:614863"
MONDO:0022768	"GARD:1355"
MONDO:0010909	"UMLS:C3551173"
MONDO:0010909	"GARD:15320"
MONDO:0010909	"NCIT:C173106"
MONDO:0010909	"OMIM:600630"
MONDO:0019248	"icd11.foundation:714623911"
MONDO:0019248	"SCTID:70528007"
MONDO:0019248	"NCIT:C61267"
MONDO:0019248	"UMLS:C0026697"
MONDO:0019248	"Orphanet:79212"
MONDO:0019248	"DOID:0080488"
MONDO:0019248	"GARD:18975"
MONDO:0019248	"MESH:D009081"
MONDO:0019638	"Orphanet:93108"
MONDO:0019638	"HP:0000110"
MONDO:0019638	"NANDO:2200161"
MONDO:0019638	"icd11.foundation:921320354"
MONDO:0019638	"GARD:19173"
MONDO:0017551	"Orphanet:295211"
MONDO:0017204	"SCTID:763621004"
MONDO:0017204	"Orphanet:279894"
MONDO:0017204	"ICD10CM:H35.3"
MONDO:0018762	"Orphanet:467"
MONDO:0018762	"NANDO:2200312"
MONDO:0018762	"ICD10CM:E23.0"
MONDO:0018762	"GARD:2252"
MONDO:0014326	"DOID:0110929"
MONDO:0014326	"GARD:16007"
MONDO:0014326	"OMIM:615731"
MONDO:0014326	"UMLS:C3810384"
MONDO:0002045	"SCTID:271569006"
MONDO:0002045	"NCIT:C34501"
MONDO:0002045	"ICD9:331.3"
MONDO:0002045	"DOID:1573"
MONDO:0002045	"UMLS:C0009451"
MONDO:0002045	"ICD10CM:G91.0"
MONDO:1010070	"OMIA:000185"
MONDO:0013111	"DOID:0080778"
MONDO:0013111	"Orphanet:217371"
MONDO:0013111	"UMLS:C3278664"
MONDO:0013111	"GARD:10593"
MONDO:0013111	"OMIM:613070"
MONDO:0004934	"UMLS:C0031111"
MONDO:0004934	"MESH:D010522"
MONDO:0004934	"NCIT:C13184"
MONDO:0004934	"DOID:9957"
MONDO:0004934	"SCTID:41910004"
MONDO:0004934	"HP:0040165"
MONDO:0850231	"DOID:0080750"
MONDO:1011153	"OMIA:000067-9615"
MONDO:0009318	"Orphanet:2108"
MONDO:0009318	"GARD:288"
MONDO:0009318	"SCTID:7903009"
MONDO:0009318	"DOID:4534"
MONDO:0009318	"MESH:D006210"
MONDO:0009318	"OMIM:234100"
MONDO:0009318	"NORD:1888"
MONDO:0009318	"NCIT:C84746"
MONDO:0009318	"NANDO:2200973"
MONDO:0009318	"UMLS:C0018522"
MONDO:0015916	"GARD:20239"
MONDO:0015916	"Orphanet:182064"
MONDO:0021083	"OMIM:135700"
MONDO:0021083	"DOID:0081015"
MONDO:0011973	"OMIM:608118"
MONDO:0011973	"UMLS:C1842486"
MONDO:0011973	"MESH:C564286"
MONDO:0015593	"Orphanet:163914"
MONDO:0014513	"DOID:0110931"
MONDO:0014513	"UMLS:C4015360"
MONDO:0014513	"OMIM:616165"
MONDO:0014513	"GARD:16066"
MONDO:0003486	"UMLS:C1266005"
MONDO:0003486	"ICDO:8083/3"
MONDO:0003486	"EFO:1001940"
MONDO:0003486	"DOID:5522"
MONDO:0003486	"NCIT:C54244"
MONDO:0005106	"DOID:3315"
MONDO:0005106	"MESH:D008067"
MONDO:0005106	"EFO:0000759"
MONDO:0005106	"SCTID:254831005"
MONDO:0005106	"NCIT:C3192"
MONDO:0005106	"ICDO:8850/0"
MONDO:0005106	"ICD9:214"
MONDO:0005106	"UMLS:C0023798"
MONDO:0005106	"SCTID:93163002"
MONDO:0005106	"ICD9:214.9"
MONDO:0005106	"UMLS:C0206631"
MONDO:0000920	"DOID:10021"
MONDO:0000920	"MESH:D004379"
MONDO:0000920	"NCIT:C9328"
MONDO:0000920	"ICD9:152.0"
MONDO:0000920	"SCTID:363403002"
MONDO:1010141	"OMIA:001864"
MONDO:0004305	"NCIT:C27393"
MONDO:0004305	"UMLS:C1335351"
MONDO:0004305	"DOID:7611"
MONDO:0003108	"NCIT:C5423"
MONDO:0003108	"UMLS:C1332923"
MONDO:0003108	"DOID:4707"
MONDO:0020159	"MedDRA:10014923"
MONDO:0020159	"Orphanet:98568"
MONDO:0020159	"SCTID:20392000"
MONDO:0009184	"OMIM:226735"
MONDO:0009184	"MESH:C565588"
MONDO:0023106	"MESH:C536393"
MONDO:0015780	"MedDRA:10062759"
MONDO:0015780	"OMIMPS:127550"
MONDO:0015780	"NCIT:C111802"
MONDO:0015780	"NANDO:2200715"
MONDO:0015780	"UMLS:C0265965"
MONDO:0015780	"MESH:D019871"
MONDO:0015780	"NORD:1071"
MONDO:0015780	"SCTID:74911008"
MONDO:0015780	"DOID:2729"
MONDO:0015780	"Orphanet:1775"
MONDO:0015780	"GARD:10905"
MONDO:0015780	"NANDO:1200342"
MONDO:0015780	"NANDO:1200304"
MONDO:0024664	"NCIT:C9243"
MONDO:0024664	"MESH:D046110"
MONDO:0024664	"SCTID:48194001"
MONDO:0007621	"DOID:0111358"
MONDO:0007621	"Orphanet:2044"
MONDO:0007621	"OMIM:136140"
MONDO:0007621	"MESH:C537062"
MONDO:0007621	"ICD9:759.89"
MONDO:0007621	"NCIT:C175241"
MONDO:0007621	"SCTID:312214005"
MONDO:0007621	"UMLS:C0729582"
MONDO:0007621	"GARD:6455"
MONDO:0007621	"NORD:1151"
MONDO:0014734	"DOID:0111315"
MONDO:0014734	"OMIM:616685"
MONDO:0005746	"NCIT:C128396"
MONDO:0005746	"ICD9:127.4"
MONDO:0005746	"EFO:0007254"
MONDO:0005746	"SCTID:266162007"
MONDO:0005746	"UMLS:C0086227"
MONDO:0005746	"DOID:7457"
MONDO:0005746	"MESH:D017229"
MONDO:0005746	"ICD10CM:B80"
MONDO:0957426	"Orphanet:641368"
MONDO:0021495	"UMLS:C0347208"
MONDO:0021495	"NCIT:C4601"
MONDO:0021495	"SCTID:92413008"
MONDO:0018354	"GARD:21641"
MONDO:0018354	"Orphanet:398073"
MONDO:0018354	"UMLS:C3809877"
MONDO:0017100	"UMLS:C4518430"
MONDO:0017100	"Orphanet:2690"
MONDO:0017100	"GARD:3982"
MONDO:0021148	"MESH:D005833"
MONDO:0021148	"UMLS:C0017416"
MONDO:0021148	"NCIT:C3053"
MONDO:0012837	"OMIM:612255"
MONDO:0012837	"DOID:0110897"
MONDO:0012837	"UMLS:C2677094"
MONDO:0012837	"MESH:C567381"
MONDO:0004526	"UMLS:C1513364"
MONDO:0004526	"UMLS:C1519865"
MONDO:0004526	"DOID:8302"
MONDO:0004526	"NCIT:C40178"
MONDO:0013996	"OMIM:614973"
MONDO:0013996	"NORD:1704"
MONDO:0013996	"UMLS:C3554245"
MONDO:0013996	"GARD:17649"
MONDO:0013996	"Orphanet:398173"
MONDO:0019480	"SCTID:724649000"
MONDO:0019480	"DOID:7146"
MONDO:0019480	"Orphanet:86897"
MONDO:0019480	"icd11.foundation:588958190"
MONDO:0019480	"EFO:0007336"
MONDO:0019480	"MESH:D054752"
MONDO:0019480	"NANDO:2200036"
MONDO:0019480	"ICDO:9756/3"
MONDO:0019480	"NCIT:C6921"
MONDO:0019480	"UMLS:C1260327"
MONDO:0019480	"GARD:10491"
MONDO:0019480	"ONCOTREE:LCS"
MONDO:0032918	"NORD:102487"
MONDO:0032918	"DOID:0112219"
MONDO:0032918	"OMIM:618792"
MONDO:0015508	"Orphanet:156604"
MONDO:0015508	"GARD:20005"
MONDO:0850069	"Orphanet:619953"
MONDO:0850069	"GARD:22466"
MONDO:0016719	"GARD:18774"
MONDO:0016719	"UMLS:C2931529"
MONDO:0016719	"MESH:C537544"
MONDO:0016719	"Orphanet:2519"
MONDO:0006862	"DOID:431"
MONDO:0006862	"MedDRA:10048780"
MONDO:0006862	"UMLS:C0027073"
MONDO:0006862	"ICD9:729.1"
MONDO:0006862	"MESH:D009209"
MONDO:0006862	"EFO:1001054"
MONDO:0006862	"SCTID:24693007"
MONDO:0018283	"Orphanet:371040"
MONDO:0018283	"GARD:21602"
MONDO:0006174	"UMLS:C1707525"
MONDO:0006174	"NCIT:C48449"
MONDO:0006174	"EFO:1000208"
MONDO:0020558	"GARD:9199"
MONDO:0020558	"Orphanet:99944"
MONDO:0020558	"NCIT:C133886"
MONDO:0020558	"UMLS:C1842984"
MONDO:0020558	"UMLS:C1842983"
MONDO:0020558	"SCTID:719512003"
MONDO:0006350	"UMLS:C0334274"
MONDO:0006350	"DOID:4012"
MONDO:0006350	"EFO:1000450"
MONDO:0006350	"ICDO:8130/3"
MONDO:0006350	"NCIT:C4122"
MONDO:1010668	"OMIA:001818-9913"
MONDO:0008476	"OMIM:184250"
MONDO:0008476	"ICD9:758.89"
MONDO:0008476	"SCTID:702350003"
MONDO:0008476	"GARD:134"
MONDO:0008476	"DOID:0080028"
MONDO:0008476	"Orphanet:93346"
MONDO:0008476	"NANDO:2201349"
MONDO:0001337	"DOID:11685"
MONDO:0001337	"UMLS:C0376117"
MONDO:0001337	"ICD9:702.11"
MONDO:0001337	"ICD10CM:L82.0"
MONDO:0001337	"SCTID:442348004"
MONDO:0009550	"SCTID:725033008"
MONDO:0009550	"DOID:0060880"
MONDO:0009550	"MESH:C537153"
MONDO:0009550	"GARD:2906"
MONDO:0009550	"Orphanet:31043"
MONDO:0009550	"OMIM:248250"
MONDO:0018541	"Orphanet:427"
MONDO:0018541	"SCTID:715343000"
MONDO:0018541	"UMLS:C4275180"
MONDO:0018541	"GARD:16532"
MONDO:0014105	"UMLS:C3808981"
MONDO:0014105	"GARD:15931"
MONDO:0014105	"ICD10CM:E23.0"
MONDO:0014105	"DOID:0090090"
MONDO:0014105	"OMIM:615269"
MONDO:0958179	"OMIM:605899"
MONDO:0013042	"OMIM:612924"
MONDO:0013042	"GARD:18554"
MONDO:0013042	"Orphanet:93578"
MONDO:0007279	"GARD:15046"
MONDO:0007279	"OMIM:115660"
MONDO:0007279	"DOID:0110260"
MONDO:0002450	"ICD9:600.20"
MONDO:0002450	"MESH:D011470"
MONDO:0002450	"NCIT:C4795"
MONDO:0002450	"UMLS:C0520477"
MONDO:0002450	"SCTID:266569009"
MONDO:0002450	"SCTID:21173002"
MONDO:0002450	"DOID:2883"
MONDO:0010656	"OMIM:309530"
MONDO:0010656	"DOID:0112038"
MONDO:0010656	"MESH:C567906"
MONDO:0010656	"MESH:C564489"
MONDO:0010656	"UMLS:C4751568"
MONDO:0010656	"Orphanet:397933"
MONDO:0010656	"NCIT:C133729"
MONDO:0010656	"GARD:22699"
MONDO:0005967	"ICD9:017.7"
MONDO:0005967	"DOID:9305"
MONDO:0005967	"SCTID:28399005"
MONDO:0005967	"MESH:D014400"
MONDO:0005967	"UMLS:C0041331"
MONDO:0004713	"ICD9:143.1"
MONDO:0004713	"UMLS:C0432581"
MONDO:0004713	"SCTID:363384006"
MONDO:0004713	"DOID:9125"
MONDO:0100168	"DOID:0111349"
MONDO:0011602	"OMIM:605818"
MONDO:0011602	"UMLS:C1853941"
MONDO:0011602	"DOID:0110485"
MONDO:0011602	"MESH:C565287"
MONDO:0011602	"GARD:22600"
MONDO:0033123	"DOID:0080264"
MONDO:0033123	"OMIM:617572"
MONDO:0033123	"GARD:16238"
MONDO:0033123	"UMLS:C4539767"
MONDO:0025453	"MESH:D011021"
MONDO:0025453	"UMLS:C0032306"
MONDO:0004392	"NCIT:C5462"
MONDO:0004392	"UMLS:C1334238"
MONDO:0004392	"DOID:7903"
MONDO:0009878	"OMIM:262600"
MONDO:0009878	"GARD:15222"
MONDO:0009878	"UMLS:C0878683"
MONDO:0009878	"MESH:C563172"
MONDO:0015025	"DOID:0080433"
MONDO:0015025	"OMIM:617339"
MONDO:0015025	"UMLS:C4479208"
MONDO:0009080	"MESH:C565647"
MONDO:0009080	"Orphanet:71271"
MONDO:0009080	"DOID:0090024"
MONDO:0009080	"SCTID:723611008"
MONDO:0009080	"OMIM:220600"
MONDO:0009080	"GARD:16686"
MONDO:0009080	"UMLS:C1857344"
MONDO:0003195	"NCIT:C40023"
MONDO:0003195	"DOID:4901"
MONDO:0003195	"UMLS:C1514429"
MONDO:0002778	"UMLS:C1333417"
MONDO:0002778	"NCIT:C5310"
MONDO:0002778	"DOID:3809"
MONDO:0014483	"OMIM:616079"
MONDO:0014483	"GARD:17640"
MONDO:0014483	"ICD10CM:H35.5"
MONDO:0014483	"Orphanet:397758"
MONDO:0014483	"UMLS:C4015146"
MONDO:0006571	"Wikipedia:Lichen_nitidus"
MONDO:0006571	"ICD10CM:L44.1"
MONDO:0006571	"UMLS:C0162849"
MONDO:0006571	"ICD9:697.1"
MONDO:0006571	"DOID:8573"
MONDO:0006571	"SCTID:41890004"
MONDO:0006571	"MESH:D017513"
MONDO:0006571	"SCTID:25147002"
MONDO:0006549	"EFO:1000699"
MONDO:0006549	"DOID:8170"
MONDO:0006549	"NCIT:C4435"
MONDO:0006549	"SCTID:195469007"
MONDO:0011801	"SCTID:765091006"
MONDO:0011801	"UMLS:C4759870"
MONDO:0011801	"Orphanet:94124"
MONDO:0011801	"DOID:0090115"
MONDO:0011801	"OMIM:607250"
MONDO:0011801	"NORD:1730"
MONDO:0011801	"MESH:C537313"
MONDO:0011801	"GARD:10000"
MONDO:0037940	"SCTID:362991006"
MONDO:0037940	"UMLS:C1285174"
MONDO:0009925	"Orphanet:758"
MONDO:0009925	"OMIM:264800"
MONDO:0009925	"DOID:2738"
MONDO:0009925	"NORD:1629"
MONDO:0009925	"NCIT:C85036"
MONDO:0009925	"SCTID:72744008"
MONDO:0009925	"UMLS:C0033847"
MONDO:0009925	"icd11.foundation:1516160852"
MONDO:0009925	"ICD9:757.39"
MONDO:0009925	"MedDRA:10037150"
MONDO:0009925	"SCTID:239140003"
MONDO:0009925	"SCTID:402782006"
MONDO:0009925	"MESH:D011561"
MONDO:0015212	"GARD:19860"
MONDO:0015212	"Orphanet:108969"
MONDO:0003382	"ICD9:374.89"
MONDO:0003382	"ICD9:374.9"
MONDO:0003382	"SCTID:60113004"
MONDO:0003382	"DOID:530"
MONDO:0003382	"NCIT:C26768"
MONDO:0003382	"EFO:0009547"
MONDO:0003382	"ICD10CM:H00"
MONDO:0003382	"MESH:D005141"
MONDO:0013588	"OMIM:614129"
MONDO:0013588	"GARD:15760"
MONDO:0013588	"UMLS:C3808414"
MONDO:0012334	"MESH:C536863"
MONDO:0012334	"SCTID:733029008"
MONDO:0012334	"Orphanet:101009"
MONDO:0012334	"OMIM:609727"
MONDO:0012334	"DOID:0110780"
MONDO:0012334	"UMLS:C1857855"
MONDO:0012334	"GARD:9729"
MONDO:0013417	"MESH:C565169"
MONDO:0013417	"NCIT:C9468"
MONDO:0013417	"UMLS:C3151071"
MONDO:0013417	"GARD:16489"
MONDO:0013417	"Orphanet:280133"
MONDO:0013417	"OMIM:613779"
MONDO:0013417	"NANDO:2200782"
MONDO:0013417	"DOID:8354"
MONDO:0032782	"OMIM:618495"
MONDO:0032782	"DOID:0111997"
MONDO:0006736	"EFO:1000910"
MONDO:0006736	"MedDRA:10013957"
MONDO:0006736	"ICD9:622.11"
MONDO:0006736	"UMLS:C0007868"
MONDO:0006736	"ICD9:622.1"
MONDO:0006736	"SCTID:73391008"
MONDO:0006736	"ICD9:622.10"
MONDO:0006736	"MESH:D002578"
MONDO:0007810	"DOID:1702"
MONDO:0007810	"Orphanet:462"
MONDO:0007810	"ICD10CM:Q80.0"
MONDO:0007810	"NCIT:C84778"
MONDO:0007810	"SCTID:254157005"
MONDO:0007810	"UMLS:C0432300"
MONDO:0007810	"OMIM:146700"
MONDO:0032803	"DOID:0111980"
MONDO:0032803	"GARD:16360"
MONDO:0032803	"OMIM:618534"
MONDO:0014192	"GARD:15968"
MONDO:0014192	"UMLS:C3809543"
MONDO:0014192	"OMIM:615444"
MONDO:0014192	"DOID:0110597"
MONDO:0013775	"OMIM:614486"
MONDO:0013775	"Orphanet:436169"
MONDO:0013775	"GARD:17726"
MONDO:0013775	"UMLS:C3280976"
MONDO:0013775	"MESH:C566057"
MONDO:0013775	"DOID:0111908"
MONDO:0015329	"GARD:19902"
MONDO:0015329	"SCTID:205808005"
MONDO:0015329	"Orphanet:139021"
MONDO:1010597	"OMIA:000511-9986"
MONDO:0017961	"Orphanet:325055"
MONDO:0017961	"GARD:21463"
MONDO:0007340	"NCIT:C75020"
MONDO:0007340	"Orphanet:1452"
MONDO:0007340	"DOID:13994"
MONDO:0007340	"GARD:6118"
MONDO:0007340	"NORD:978"
MONDO:0007340	"ICD9:755.59"
MONDO:0007340	"SCTID:65976001"
MONDO:0007340	"OMIM:119600"
MONDO:0007340	"UMLS:C0008928"
MONDO:0007340	"MESH:D002973"
MONDO:0030890	"OMIM:619909"
MONDO:0020747	"OMIM:210250"
MONDO:0002253	"SCTID:8847002"
MONDO:0002253	"MESH:D055009"
MONDO:0002253	"SCTID:48210000"
MONDO:0002253	"ICD9:721.9"
MONDO:0002253	"DOID:2247"
MONDO:0002253	"ICD10CM:M47"
MONDO:0002253	"ICD9:721.3"
MONDO:0002253	"UMLS:C0038019"
MONDO:0020324	"DOID:0081311"
MONDO:0020324	"UMLS:C0334660"
MONDO:0020324	"Orphanet:98839"
MONDO:0020324	"icd11.foundation:952730197"
MONDO:0020324	"NCIT:C4342"
MONDO:0020324	"MedDRA:10069643"
MONDO:0020324	"ICD9:202.80"
MONDO:0020324	"SCTID:255102004"
MONDO:0020324	"ONCOTREE:IVBCL"
MONDO:0020324	"ICDO:9712/3"
MONDO:0020324	"GARD:19590"
MONDO:0006957	"SCTID:30512007"
MONDO:0006957	"ICD9:521.08"
MONDO:0006957	"EFO:1001163"
MONDO:0006957	"MESH:D017213"
MONDO:0006957	"UMLS:C0162644"
MONDO:0006957	"DOID:14089"
MONDO:0023067	"GARD:10431"
MONDO:0030070	"OMIM:618948"
MONDO:1010610	"OMIA:001005-10141"
MONDO:0017577	"MESH:C537594"
MONDO:0017577	"GARD:4815"
MONDO:0017577	"Orphanet:29822"
MONDO:0017577	"UMLS:C2931542"
MONDO:0019133	"GARD:18923"
MONDO:0019133	"Orphanet:73246"
MONDO:0030009	"GARD:16386"
MONDO:0030009	"DOID:0080950"
MONDO:0030009	"OMIM:618840"
MONDO:0006003	"DOID:9460"
MONDO:0006003	"EFO:0007532"
MONDO:0006003	"SCTID:371972005"
MONDO:0006003	"ICD9:182"
MONDO:0006003	"NCIT:C61574"
MONDO:0007561	"ICD10CM:Q77.3"
MONDO:0007561	"DOID:0070303"
MONDO:0007561	"SCTID:715673002"
MONDO:0007561	"Orphanet:93308"
MONDO:0007561	"UMLS:C1838280"
MONDO:0007561	"OMIM:132400"
MONDO:0007561	"GARD:2180"
MONDO:0019341	"NANDO:2200826"
MONDO:0019341	"NANDO:1200607"
MONDO:0017198	"Orphanet:2781"
MONDO:0017198	"NCIT:C26840"
MONDO:0017198	"MedDRA:10031280"
MONDO:0017198	"NANDO:1200998"
MONDO:0017198	"DOID:13533"
MONDO:0017198	"NORD:1538"
MONDO:0017198	"GARD:4155"
MONDO:0017198	"ICD9:756.52"
MONDO:0017198	"MESH:D010022"
MONDO:0017198	"icd11.foundation:1498426606"
MONDO:0017198	"NANDO:2201013"
MONDO:0017198	"HP:0011002"
MONDO:0017198	"SCTID:1926006"
MONDO:0035554	"Orphanet:576227"
MONDO:0035554	"GARD:22322"
MONDO:0018144	"Orphanet:353327"
MONDO:0018144	"GARD:17539"
MONDO:0010658	"MESH:C564106"
MONDO:0010658	"DOID:0060804"
MONDO:0010658	"OMIM:309545"
MONDO:0010658	"UMLS:C1839792"
MONDO:0010658	"SCTID:719009006"
MONDO:0010658	"GARD:16747"
MONDO:0010658	"Orphanet:85290"
MONDO:0005265	"OMIMPS:266600"
MONDO:0005265	"SCTID:24526004"
MONDO:0005265	"NANDO:2100259"
MONDO:0005265	"UMLS:C0021390"
MONDO:0005265	"ICD9:558.9"
MONDO:0005265	"EFO:0003767"
MONDO:0005265	"DOID:0050589"
MONDO:0005265	"MESH:D015212"
MONDO:0005265	"NCIT:C3138"
MONDO:0016832	"Orphanet:261102"
MONDO:0016832	"UMLS:C4750782"
MONDO:0016832	"GARD:20770"
MONDO:0011604	"OMIM:605822"
MONDO:0011604	"Orphanet:85194"
MONDO:0011604	"SCTID:715653007"
MONDO:0011604	"GARD:16740"
MONDO:0017764	"Orphanet:309845"
MONDO:0017764	"ICD9:275.8"
MONDO:0017764	"MedDRA:10048260"
MONDO:0017764	"GARD:21356"
MONDO:0017764	"SCTID:46727001"
MONDO:0006211	"EFO:1000257"
MONDO:0006211	"SCTID:56364004"
MONDO:0006211	"NCIT:C3942"
MONDO:0006211	"ICD9:215.9"
MONDO:0006211	"UMLS:C0265979"
MONDO:0000599	"DOID:0060047"
MONDO:0009728	"NANDO:1201036"
MONDO:0009728	"MESH:C537699"
MONDO:0009728	"UMLS:C1855681"
MONDO:0009728	"NANDO:2200140"
MONDO:0009728	"DOID:0111112"
MONDO:0009728	"NCIT:C74998"
MONDO:0009728	"OMIM:256100"
MONDO:0009728	"Orphanet:93592"
MONDO:0009728	"SCTID:444830001"
MONDO:0009728	"GARD:18645"
MONDO:0025129	"MESH:D013554"
MONDO:0025129	"UMLS:C0039007"
MONDO:0008641	"DOID:0111567"
MONDO:0008641	"OMIM:192315"
MONDO:0008641	"MESH:C566007"
MONDO:0008641	"SCTID:721141004"
MONDO:0008641	"Orphanet:247691"
MONDO:0008641	"icd11.foundation:554838792"
MONDO:0008641	"GARD:1217"
MONDO:0008641	"UMLS:C1860518"
MONDO:0008641	"NORD:1910"
MONDO:0008641	"SCTID:720854004"
MONDO:0001502	"NCIT:C7352"
MONDO:0001502	"UMLS:C0948749"
MONDO:0001502	"DOID:12342"
MONDO:0003702	"NCIT:C5356"
MONDO:0003702	"DOID:5915"
MONDO:0007444	"OMIM:125540"
MONDO:0007444	"UMLS:C1852160"
MONDO:0007444	"MESH:C565109"
MONDO:0016362	"MESH:C538265"
MONDO:0016362	"SCTID:715866009"
MONDO:0016362	"NCIT:C6729"
MONDO:0016362	"Orphanet:220460"
MONDO:0016362	"UMLS:C2674616"
MONDO:0016362	"GARD:8532"
MONDO:0030987	"OMIM:619227"
MONDO:0003056	"DOID:4591"
MONDO:0003056	"NCIT:C4720"
MONDO:0003056	"UMLS:C0431119"
MONDO:0011238	"GARD:15347"
MONDO:0011238	"UMLS:C1844853"
MONDO:0011238	"OMIM:602497"
MONDO:0002943	"UMLS:C1333491"
MONDO:0002943	"NCIT:C6082"
MONDO:0002943	"DOID:4287"
MONDO:1010226	"OMIA:002476"
MONDO:0002255	"UMLS:C0020561"
MONDO:0002255	"DOID:2251"
MONDO:0002255	"ICD9:622.6"
MONDO:0002255	"SCTID:198353000"
MONDO:0006432	"DOID:5191"
MONDO:0006432	"NCIT:C9148"
MONDO:0006432	"UMLS:C0279610"
MONDO:0021179	"MESH:D057165"
MONDO:0021179	"UMLS:C2718000"
MONDO:0004557	"UMLS:C0334459"
MONDO:0004557	"SCTID:403996004"
MONDO:0004557	"ONCOTREE:IFS"
MONDO:0004557	"ICD9:171.9"
MONDO:0004557	"DOID:8418"
MONDO:0004557	"NCIT:C4244"
MONDO:0004557	"ICDO:8814/3"
MONDO:0013419	"MESH:C565170"
MONDO:0013419	"GARD:15707"
