x	p	y
MONDO:0019173	RO:0004029	HP:0000739
MONDO:0002641	RO:0004026	UBERON:0001533
MONDO:0005901	RO:0004028	NCBITaxon:745
MONDO:0005772	RO:0004028	NCBITaxon:1173061
MONDO:0019294	RO:0002573	MONDO:0021136
MONDO:0015254	RO:0004029	HP:0000790
MONDO:0007987	RO:0004029	HP:0003521
MONDO:0019859	RO:0002573	MONDO:0021136
MONDO:0003032	RO:0004026	UBERON:0001585
MONDO:0012308	RO:0004020	http://identifiers.org/hgnc/7905
MONDO:0013439	RO:0004020	http://identifiers.org/hgnc/2652
MONDO:0005880	RO:0004028	NCBITaxon:52564
MONDO:0018234	RO:0004024	GO:0001503
MONDO:0004374	RO:0002573	HP:0003581
MONDO:0012500	RO:0004020	http://identifiers.org/hgnc/12269
MONDO:0007235	RO:0004020	http://identifiers.org/hgnc/11742
MONDO:0007620	RO:0004020	http://identifiers.org/hgnc/6522
MONDO:0013909	RO:0004028	NCBITaxon:37296
MONDO:0001380	RO:0004026	UBERON:0006082
MONDO:0013450	RO:0004020	http://identifiers.org/hgnc/10975
MONDO:0014107	RO:0004020	http://identifiers.org/hgnc/3762
MONDO:0017801	RO:0002573	MONDO:0021136
MONDO:0009773	RO:0004020	http://identifiers.org/hgnc/13829
MONDO:0018274	RO:0004021	GO:0047291
MONDO:0013835	RO:0004020	http://identifiers.org/hgnc/37276
MONDO:0002601	RO:0002573	MONDO:0021136
MONDO:0012332	RO:0004020	http://identifiers.org/hgnc/30972
MONDO:0100061	RO:0004029	MONDO:0015626
MONDO:0011732	RO:0004020	http://identifiers.org/hgnc/18083
MONDO:0018874	RO:0004029	MONDO:0002280
MONDO:0010466	RO:0004020	http://identifiers.org/hgnc/8957
MONDO:0001972	RO:0004029	HP:0003418
MONDO:0002719	RO:0004026	UBERON:0005437
MONDO:0022968	RO:0004029	MONDO:0015661
MONDO:0012596	RO:0004020	http://identifiers.org/hgnc/19129
MONDO:0008321	RO:0004029	HP:0000989
MONDO:0013731	RO:0004020	http://identifiers.org/hgnc/29634
MONDO:0011304	RO:0004020	http://identifiers.org/hgnc/21708
MONDO:0011383	RO:0004020	http://identifiers.org/hgnc/1500
MONDO:0021643	RO:0004020	UBERON:0005617
MONDO:0045053	RO:0004030	CL:0000062
MONDO:0018769	RO:0004028	NCBITaxon:482538
MONDO:0010970	RO:0004020	http://identifiers.org/hgnc/7001
MONDO:0020147	RO:0004029	HP:0000528
MONDO:0019723	RO:0004026	GO:0005604
MONDO:0016735	RO:0002573	MONDO:0024491
MONDO:0016157	RO:0004020	PR:000007547
MONDO:0013133	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0005012
MONDO:0014394	RO:0004020	http://identifiers.org/hgnc/10419
MONDO:0013576	RO:0004020	http://identifiers.org/hgnc/5716
MONDO:0012528	RO:0004020	http://identifiers.org/hgnc/18455
MONDO:0006882	RO:0004027	UBERON:0000473
MONDO:0001118	RO:0002451	NCBITaxon:65647
MONDO:0010566	RO:0004020	http://identifiers.org/hgnc/10295
MONDO:0008879	RO:0004020	http://identifiers.org/hgnc/16912
MONDO:0016790	RO:0004021	GO:0006099
MONDO:0014439	RO:0004020	http://identifiers.org/hgnc/16380
MONDO:0014912	RO:0002573	HP:0003593
MONDO:0014498	RO:0004020	http://identifiers.org/hgnc/16412
MONDO:0009737	RO:0004020	http://identifiers.org/hgnc/9251
MONDO:0013208	RO:0004020	http://identifiers.org/hgnc/25355
MONDO:0100040	RO:0004029	MONDO:0005027
MONDO:0020176	RO:0004026	UBERON:0013231
MONDO:0010298	RO:0004029	HP:0100716
MONDO:0019360	RO:0004028	NCBITaxon:786
MONDO:0014482	RO:0004020	http://identifiers.org/hgnc/15573
MONDO:0014760	RO:0004020	http://identifiers.org/hgnc/11763
MONDO:0014623	RO:0004020	http://identifiers.org/hgnc/25403
MONDO:0016181	RO:0004029	MONDO:0005070
MONDO:0014938	RO:0004020	http://identifiers.org/hgnc/19016
MONDO:0000875	RO:0002573	HP:0003581
MONDO:0019668	RO:0002573	MONDO:0021136
MONDO:0009563	RO:0004029	HP:0001250
MONDO:0012312	RO:0004020	http://identifiers.org/hgnc/6251
MONDO:0018411	RO:0002573	MONDO:0021136
MONDO:0011479	RO:0004020	http://identifiers.org/hgnc/11048
MONDO:0013145	RO:0004020	http://identifiers.org/hgnc/6243
MONDO:0007083	RO:0004020	http://identifiers.org/hgnc/4274
MONDO:0020226	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	MONDO:0005129
MONDO:0009479	RO:0004020	http://identifiers.org/hgnc/16808
MONDO:0024311	RO:0004026	UBERON:0002428
MONDO:0013312	RO:0004020	http://identifiers.org/hgnc/13210
MONDO:0018695	RO:0004029	HP:0002090
MONDO:0017970	RO:0002573	MONDO:0021136
MONDO:0018661	RO:0004029	MONDO:0003799
MONDO:0008426	RO:0004020	http://identifiers.org/hgnc/10896
MONDO:0009115	RO:0004020	http://identifiers.org/hgnc/6530
MONDO:0022398	RO:0004029	MONDO:0010029
MONDO:0014691	RO:0004020	http://identifiers.org/hgnc/11188
MONDO:0016553	RO:0002573	MONDO:0021128
MONDO:0005537	RO:0004027	UBERON:0000159
MONDO:0012747	RO:0004020	http://identifiers.org/hgnc/414
MONDO:0013943	RO:0004020	http://identifiers.org/hgnc/8857
MONDO:0002369	RO:0004030	UBERON:0006799
MONDO:0013804	RO:0004020	http://identifiers.org/hgnc/18040
MONDO:0013117	RO:0004020	http://identifiers.org/hgnc/17296
MONDO:0037858	RO:0004024	GO:0006631
MONDO:0014417	RO:0004020	http://identifiers.org/hgnc/21308
MONDO:0012456	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0007707
MONDO:0009672	RO:0002573	HP:0011463
MONDO:0012039	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0005068
MONDO:0002786	RO:0004026	UBERON:0001894
MONDO:0012581	RO:0004020	http://identifiers.org/hgnc/19316
MONDO:0008503	RO:0002573	MONDO:0021136
MONDO:0014632	RO:0004020	http://identifiers.org/hgnc/30262
MONDO:0002811	RO:0004026	UBERON:0002182
MONDO:0005300	RO:0002573	PATO:0001863
MONDO:0018988	RO:0004029	MONDO:0005041
MONDO:0014690	RO:0004020	http://identifiers.org/hgnc/25070
MONDO:0008800	RO:0004020	http://identifiers.org/hgnc/20318
MONDO:0018705	RO:0002573	HP:0003593
MONDO:0021154	RO:0004026	UBERON:0002067
MONDO:0009973	RO:0004029	HP:0001888
MONDO:0007366	RO:0004020	http://identifiers.org/hgnc/6297
MONDO:0021389	RO:0004026	UBERON:0034971
MONDO:0002654	RO:0004026	UBERON:0000995
MONDO:0024554	RO:0004020	http://identifiers.org/hgnc/28358
MONDO:0013173	RO:0004020	http://identifiers.org/hgnc/30832
MONDO:0005800	RO:0004028	NCBITaxon:1280
MONDO:0005688	RO:0004029	HP:0002315
MONDO:0006040	RO:0004029	HP:0003128
MONDO:0005919	RO:0002573	MONDO:0021136
MONDO:0012241	RO:0004020	http://identifiers.org/hgnc/1160
MONDO:0033004	RO:0004020	http://identifiers.org/hgnc/9016
