?source	?entity	?property	?xrefs
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0019072>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:1852|DOID:0070227"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0019118>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:8500|DOID:8501"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0020513>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:7891|DOID:5834"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0027772>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080304|DOID:0080303"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0033044>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080253|DOID:0080276"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0100062>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:2481|DOID:0050709"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0003050>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1000016|EFO:0003050"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0005061>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0005288|EFO:0000571"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0005244>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0004149|EFO:0003100"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0005853>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0007373|EFO:1000356"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0006055>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1000052|EFO:0007483"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0006238>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1000287|EFO:0004125"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0006345>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0004229|EFO:1000438"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0006646>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1000806|EFO:1000084"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0006733>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1000906|EFO:1001001"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0007667>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:1001197|EFO:1000553"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0013209>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0003095|EFO:1001248"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0016982>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0003967|EFO:0003968"
"EFO"	<http://purl.obolibrary.org/obo/MONDO_0020076>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"EFO:0004251|EFO:0002428"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0000359>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012174|GARD:0010726|GARD:0006798"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0003582>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012351|GARD:0012352"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0005373>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0007169|GARD:0009547"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007047>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000133|GARD:0000125"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007078>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005770|GARD:0007486"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007124>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004805|GARD:0006571"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007145>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005835|GARD:0000755"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007216>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000989|GARD:0000979"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007226>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000881|GARD:0000971"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007390>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012639|GARD:0012721"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007401>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001592|GARD:0000998"
