source	source_version	source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translator	translation_precision	translation_status	translator_expertise
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010676	rdfs:label	microtia, pig	小耳症, ブタ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010677	rdfs:label	microtia, sheep	小耳症, ヒツジ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010696	rdfs:label	analphalipoproteinaemia, chicken	無アルファリポ蛋白血症, ニワトリ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010697	rdfs:label	citrullinaemia, cattle	シトルリン血症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010701	rdfs:label	pyruvate kinase deficiency of erythrocyte, dog	赤血球ピルビン酸キナーゼ欠乏症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010702	rdfs:label	pyruvate kinase deficiency of erythrocyte, domestic cat	赤血球ピルビン酸キナーゼ欠乏症, ネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010707	rdfs:label	porphyria cutanea tarda, sheep	晩発性皮膚ポルフィリン症, ヒツジ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010710	rdfs:label	trimethylaminuria (fishy taint), chicken	トリメチルアミン尿症（魚臭症）, ニワトリ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010712	rdfs:label	trimethylaminuria (fishy taint), cattle	トリメチルアミン尿症（魚臭症）, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010713	rdfs:label	pyruvate dehydrogenase deficiency, dog	ピルビン酸脱水素酵素欠損症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
