icd	icd_label	icd_parent	icd_parent_label	verdict	nearest_score	nearest_mondo	nearest_label	other_neighbours	synonyms
ICD10CM:Q53.211	Bilateral intraabdominal testes	ICD10CM:Q53.21	Abdominal testis, bilateral	NO-CLOSE-MATCH					Bilateral intraabdominal testes
ICD10CM:Q53.212	Bilateral inguinal testes	ICD10CM:Q53.21	Abdominal testis, bilateral	NO-CLOSE-MATCH					Bilateral inguinal testes
ICD10CM:Q53.22	Ectopic perineal testis, bilateral	ICD10CM:Q53.2	Undescended testicle, bilateral	NO-CLOSE-MATCH					Ectopic perineal testis, bilateral
ICD10CM:Q53.23	Bilateral high scrotal testes	ICD10CM:Q53.2	Undescended testicle, bilateral	NO-CLOSE-MATCH					Bilateral high scrotal testes
ICD10CM:Q55.1	Hypoplasia of testis and scrotum	ICD10CM:Q55	Other congenital malformations of male genital organs	NO-CLOSE-MATCH					Fusion of testes; Hypoplasia of testis and scrotum
ICD10CM:Q55.21	Polyorchism	ICD10CM:Q55.2	Other and unspecified congenital malformations of testis and scrotum	NO-CLOSE-MATCH					Polyorchism
ICD10CM:Q55.3	Atresia of vas deferens	ICD10CM:Q55	Other congenital malformations of male genital organs	NO-CLOSE-MATCH					Atresia of vas deferens
ICD10CM:Q55.61	Curvature of penis (lateral)	ICD10CM:Q55.6	Other congenital malformations of penis	NO-CLOSE-MATCH					Curvature of penis (lateral); curvature of penis
ICD10CM:Q55.63	Congenital torsion of penis	ICD10CM:Q55.6	Other congenital malformations of penis	NO-CLOSE-MATCH					Congenital torsion of penis
ICD10CM:Q55.64	Hidden penis	ICD10CM:Q55.6	Other congenital malformations of penis	NO-CLOSE-MATCH					Buried penis; Concealed penis; Hidden penis
ICD10CM:Q55.7	Congenital vasocutaneous fistula	ICD10CM:Q55	Other congenital malformations of male genital organs	NO-CLOSE-MATCH					Congenital vasocutaneous fistula
ICD10CM:Q61.01	Congenital single renal cyst	ICD10CM:Q61.0	Congenital renal cyst	NO-CLOSE-MATCH					Congenital single renal cyst
ICD10CM:Q61.11	Cystic dilatation of collecting ducts	ICD10CM:Q61.1	Polycystic kidney, infantile type	NO-CLOSE-MATCH					Cystic dilatation of collecting ducts
ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	ICD10CM:Q60-Q64	Congenital malformations of the urinary system (Q60-Q64)	NO-CLOSE-MATCH					Congenital obstructive defects of renal pelvis and congenital malformations of ureter
ICD10CM:Q62.1	Congenital occlusion of ureter	ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	NO-CLOSE-MATCH					Atresia and stenosis of ureter; Congenital occlusion of ureter
ICD10CM:Q62.11	Congenital occlusion of ureteropelvic junction	ICD10CM:Q62.1	Congenital occlusion of ureter	NO-CLOSE-MATCH					Congenital occlusion of ureteropelvic junction
ICD10CM:Q62.12	Congenital occlusion of ureterovesical orifice	ICD10CM:Q62.1	Congenital occlusion of ureter	NO-CLOSE-MATCH					Congenital occlusion of ureterovesical orifice
ICD10CM:Q62.31	Congenital ureterocele, orthotopic	ICD10CM:Q62.3	Other obstructive defects of renal pelvis and ureter	NO-CLOSE-MATCH					Congenital ureterocele, orthotopic
ICD10CM:Q62.32	Cecoureterocele	ICD10CM:Q62.3	Other obstructive defects of renal pelvis and ureter	NO-CLOSE-MATCH					Cecoureterocele; Ectopic ureterocele
ICD10CM:Q62.4	Agenesis of ureter	ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	NO-CLOSE-MATCH					Agenesis of ureter; Congenital absence ureter
ICD10CM:Q62.6	Malposition of ureter	ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	NO-CLOSE-MATCH					Malposition of ureter
ICD10CM:Q62.61	Deviation of ureter	ICD10CM:Q62.6	Malposition of ureter	NO-CLOSE-MATCH					Deviation of ureter
ICD10CM:Q62.62	Displacement of ureter	ICD10CM:Q62.6	Malposition of ureter	NO-CLOSE-MATCH					Displacement of ureter
ICD10CM:Q62.63	Anomalous implantation of ureter	ICD10CM:Q62.6	Malposition of ureter	NO-CLOSE-MATCH					Anomalous implantation of ureter; Ectopia of ureter; Ectopic ureter
ICD10CM:Q63.0	Accessory kidney	ICD10CM:Q63	Other congenital malformations of kidney	NO-CLOSE-MATCH					Accessory kidney
ICD10CM:Q63.3	Hyperplastic and giant kidney	ICD10CM:Q63	Other congenital malformations of kidney	NO-CLOSE-MATCH					Compensatory hypertrophy of kidney; Hyperplastic and giant kidney
ICD10CM:Q64.11	Supravesical fissure of urinary bladder	ICD10CM:Q64.1	Exstrophy of urinary bladder	NO-CLOSE-MATCH					Supravesical fissure of urinary bladder
ICD10CM:Q64.12	Cloacal exstrophy of urinary bladder	ICD10CM:Q64.1	Exstrophy of urinary bladder	NO-CLOSE-MATCH					Cloacal exstrophy of urinary bladder
ICD10CM:Q64.32	Congenital stricture of urethra	ICD10CM:Q64.3	Other atresia and stenosis of urethra and bladder neck	NO-CLOSE-MATCH					Congenital stricture of urethra
ICD10CM:Q64.33	Congenital stricture of urinary meatus	ICD10CM:Q64.3	Other atresia and stenosis of urethra and bladder neck	NO-CLOSE-MATCH					Congenital stricture of urinary meatus
ICD10CM:Q64.5	Congenital absence of bladder and urethra	ICD10CM:Q64	Other congenital malformations of urinary system	NO-CLOSE-MATCH					Congenital absence of bladder and urethra
ICD10CM:Q64.72	Congenital prolapse of urinary meatus	ICD10CM:Q64.7	Other and unspecified congenital malformations of bladder and urethra	NO-CLOSE-MATCH					Congenital prolapse of urinary meatus
ICD10CM:Q64.74	Double urethra	ICD10CM:Q64.7	Other and unspecified congenital malformations of bladder and urethra	NO-CLOSE-MATCH					Double urethra
ICD10CM:Q64.75	Double urinary meatus	ICD10CM:Q64.7	Other and unspecified congenital malformations of bladder and urethra	NO-CLOSE-MATCH					Double urinary meatus
ICD10CM:Q65.6	Congenital unstable hip	ICD10CM:Q65	Congenital deformities of hip	NO-CLOSE-MATCH					Congenital dislocatable hip; Congenital unstable hip
ICD10CM:Q66.21	Congenital metatarsus primus varus	ICD10CM:Q66.2	Congenital metatarsus (primus) varus	NO-CLOSE-MATCH					Congenital metatarsus primus varus
ICD10CM:Q67.1	Congenital compression facies	ICD10CM:Q67	Congenital musculoskeletal deformities of head, face, spine and chest	NO-CLOSE-MATCH					Congenital compression facies
ICD10CM:Q68.6	Discoid meniscus	ICD10CM:Q68	Other congenital musculoskeletal deformities	NO-CLOSE-MATCH					Discoid meniscus
ICD10CM:Q70.03	Fused fingers, bilateral	ICD10CM:Q70.0	Fused fingers	NO-CLOSE-MATCH					Fused fingers, bilateral
ICD10CM:Q70.13	Webbed fingers, bilateral	ICD10CM:Q70.1	Webbed fingers	NO-CLOSE-MATCH					Webbed fingers, bilateral
ICD10CM:Q70.23	Fused toes, bilateral	ICD10CM:Q70.2	Fused toes	NO-CLOSE-MATCH					Fused toes, bilateral
ICD10CM:Q70.33	Webbed toes, bilateral	ICD10CM:Q70.3	Webbed toes	NO-CLOSE-MATCH					Webbed toes, bilateral
ICD10CM:Q71	Reduction defects of upper limb	ICD10CM:Q65-Q79	Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)	NO-CLOSE-MATCH					Reduction defects of upper limb
ICD10CM:Q71.81	Congenital shortening of upper limb	ICD10CM:Q71.8	Other reduction defects of upper limb	NO-CLOSE-MATCH					Congenital shortening of upper limb
ICD10CM:Q72	Reduction defects of lower limb	ICD10CM:Q65-Q79	Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)	NO-CLOSE-MATCH					Reduction defects of lower limb
ICD10CM:Q72.81	Congenital shortening of lower limb	ICD10CM:Q72.8	Other reduction defects of lower limb	NO-CLOSE-MATCH					Congenital shortening of lower limb
ICD10CM:Q75.05	Multi-suture craniosynostosis	ICD10CM:Q75.0	Craniosynostosis	NO-CLOSE-MATCH					Multi-suture craniosynostosis
ICD10CM:Q76.411	Congenital kyphosis, occipito-atlanto-axial region	ICD10CM:Q76.41	Congenital kyphosis	NO-CLOSE-MATCH					Congenital kyphosis, occipito-atlanto-axial region
ICD10CM:Q76.412	Congenital kyphosis, cervical region	ICD10CM:Q76.41	Congenital kyphosis	NO-CLOSE-MATCH					Congenital kyphosis, cervical region
ICD10CM:Q76.413	Congenital kyphosis, cervicothoracic region	ICD10CM:Q76.41	Congenital kyphosis	NO-CLOSE-MATCH					Congenital kyphosis, cervicothoracic region
ICD10CM:Q76.414	Congenital kyphosis, thoracic region	ICD10CM:Q76.41	Congenital kyphosis	NO-CLOSE-MATCH					Congenital kyphosis, thoracic region
ICD10CM:Q76.415	Congenital kyphosis, thoracolumbar region	ICD10CM:Q76.41	Congenital kyphosis	NO-CLOSE-MATCH					Congenital kyphosis, thoracolumbar region
ICD10CM:Q76.425	Congenital lordosis, thoracolumbar region	ICD10CM:Q76.42	Congenital lordosis	NO-CLOSE-MATCH					Congenital lordosis, thoracolumbar region
ICD10CM:Q76.426	Congenital lordosis, lumbar region	ICD10CM:Q76.42	Congenital lordosis	NO-CLOSE-MATCH					Congenital lordosis, lumbar region
ICD10CM:Q76.427	Congenital lordosis, lumbosacral region	ICD10CM:Q76.42	Congenital lordosis	NO-CLOSE-MATCH					Congenital lordosis, lumbosacral region
ICD10CM:Q77	Osteochondrodysplasia with defects of growth of tubular bones and spine	ICD10CM:Q65-Q79	Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)	NO-CLOSE-MATCH					Osteochondrodysplasia with defects of growth of tubular bones and spine
ICD10CM:Q79.51	Congenital hernia of bladder	ICD10CM:Q79.5	Other congenital malformations of abdominal wall	NO-CLOSE-MATCH					Congenital hernia of bladder
ICD10CM:Q87.41	Marfan syndrome with cardiovascular manifestations	ICD10CM:Q87.4	Marfan syndrome	NO-CLOSE-MATCH					Marfan syndrome with cardiovascular manifestations
ICD10CM:Q87.410	Marfan syndrome with aortic dilation	ICD10CM:Q87.41	Marfan syndrome with cardiovascular manifestations	NO-CLOSE-MATCH					Marfan syndrome with aortic dilation
ICD10CM:Q87.418	Marfan syndrome with other cardiovascular manifestations	ICD10CM:Q87.41	Marfan syndrome with cardiovascular manifestations	NO-CLOSE-MATCH					Marfan syndrome with other cardiovascular manifestations
ICD10CM:Q87.42	Marfan syndrome with ocular manifestations	ICD10CM:Q87.4	Marfan syndrome	NO-CLOSE-MATCH					Marfan syndrome with ocular manifestations
ICD10CM:Q87.43	Marfan syndrome with skeletal manifestation	ICD10CM:Q87.4	Marfan syndrome	NO-CLOSE-MATCH					Marfan syndrome with skeletal manifestation
ICD10CM:Q92.0	Whole chromosome trisomy, nonmosaicism (meiotic nondisjunction)	ICD10CM:Q92	Other trisomies and partial trisomies of the autosomes, not elsewhere classified	NO-CLOSE-MATCH					Whole chromosome trisomy, nonmosaicism (meiotic nondisjunction); whole chromosome trisomy, nonmosaicism
ICD10CM:Q92.5	Duplications with other complex rearrangements	ICD10CM:Q92	Other trisomies and partial trisomies of the autosomes, not elsewhere classified	NO-CLOSE-MATCH					Duplications with other complex rearrangements; Partial trisomy due to unbalanced translocations
ICD10CM:Q92.61	Marker chromosomes in normal individual	ICD10CM:Q92.6	Marker chromosomes	NO-CLOSE-MATCH					Marker chromosomes in normal individual
ICD10CM:Q92.62	Marker chromosomes in abnormal individual	ICD10CM:Q92.6	Marker chromosomes	NO-CLOSE-MATCH					Marker chromosomes in abnormal individual
ICD10CM:Q95.0	Balanced translocation and insertion in normal individual	ICD10CM:Q95	Balanced rearrangements and structural markers, not elsewhere classified	NO-CLOSE-MATCH					Balanced translocation and insertion in normal individual
ICD10CM:Q95.1	Chromosome inversion in normal individual	ICD10CM:Q95	Balanced rearrangements and structural markers, not elsewhere classified	NO-CLOSE-MATCH					Chromosome inversion in normal individual
ICD10CM:Q95.3	Balanced sex/autosomal rearrangement in abnormal individual	ICD10CM:Q95	Balanced rearrangements and structural markers, not elsewhere classified	NO-CLOSE-MATCH					Balanced sex/autosomal rearrangement in abnormal individual
ICD10CM:Q95.5	Individual with autosomal fragile site	ICD10CM:Q95	Balanced rearrangements and structural markers, not elsewhere classified	NO-CLOSE-MATCH					Individual with autosomal fragile site
ICD10CM:Q97.2	Mosaicism, lines with various numbers of X chromosomes	ICD10CM:Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified	NO-CLOSE-MATCH					Mosaicism, lines with various numbers of X chromosomes
ICD10CM:Q97.3	Female with 46, XY karyotype	ICD10CM:Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified	NO-CLOSE-MATCH					Female with 46, XY karyotype
ICD10CM:Q04.4	Septo-optic dysplasia of brain	ICD10CM:Q04	Other congenital malformations of brain	REVIEW-NEIGHBOURS	0.63	MONDO:0008428	septooptic dysplasia		Septo-optic dysplasia of brain
ICD10CM:Q21.22	Transitional atrioventricular septal defect	ICD10CM:Q21.2	Atrioventricular septal defect	REVIEW-NEIGHBOURS	0.63	MONDO:0859565	atrioventricular septal defect	MONDO:0020290 atrioventricular septal defect (0.63); MONDO:0020437 partial atrioventricular septal defect (0.60)	Intermediate atrioventricular canal; Intermediate atrioventricular septal defect; Intermediate endocardial cushion defect; Ostium primum atrial septal defect (type I) with separate atrioventricular valves and a small or restrictive inlet VSD
ICD10CM:Q27.39	Arteriovenous malformation, other site	ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	REVIEW-NEIGHBOURS	0.58	MONDO:0015402	arteriovenous malformation of mandible	MONDO:0007154 arteriovenous malformations of the brain (0.58); MONDO:0015401 arteriovenous malformation of maxilla (0.56)	Arteriovenous malformation, other site
ICD10CM:Q38.7	Congenital pharyngeal pouch	ICD10CM:Q38	Other congenital malformations of tongue, mouth and pharynx	REVIEW-NEIGHBOURS	0.56	MONDO:0008564	pharyngeal pouch syndrome		Congenital diverticulum of pharynx; Congenital pharyngeal pouch
ICD10CM:Q51.811	Hypoplasia of uterus	ICD10CM:Q51.81	Other congenital malformations of uterus	REVIEW-NEIGHBOURS	0.62	MONDO:0017440	congenital hypoplasia of humerus		Hypoplasia of uterus
ICD10CM:Q51.821	Hypoplasia of cervix	ICD10CM:Q51.82	Other congenital malformations of cervix	REVIEW-NEIGHBOURS	0.56	MONDO:0006736	dysplasia of cervix		Hypoplasia of cervix
ICD10CM:Q52.120	Longitudinal vaginal septum, nonobstructing	ICD10CM:Q52.12	Longitudinal vaginal septum	REVIEW-NEIGHBOURS	0.56	MONDO:0015849	longitudinal vaginal septum		Longitudinal vaginal septum, nonobstructing
ICD10CM:Q53	Undescended and ectopic testicle	ICD10CM:Q50-Q56	Congenital malformations of genital organs (Q50-Q56)	REVIEW-NEIGHBOURS	0.58	MONDO:0009047	undescended testicle		Undescended and ectopic testicle
ICD10CM:Q55.23	Scrotal transposition	ICD10CM:Q55.2	Other and unspecified congenital malformations of testis and scrotum	REVIEW-NEIGHBOURS	0.71	MONDO:0017285	penoscrotal transposition (disease)		Scrotal transposition
ICD10CM:Q62.5	Duplication of ureter	ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	REVIEW-NEIGHBOURS	0.65	MONDO:0016529	duplication of urethra		Accessory ureter; Double ureter; Duplication of ureter
ICD10CM:Q75.04	Lambdoid craniosynostosis	ICD10CM:Q75.0	Craniosynostosis	REVIEW-NEIGHBOURS	0.57	MONDO:0850079	non-syndromic bilambdoid craniosynostosis	MONDO:0850074 non-syndromic unilambdoid craniosynostosis (0.56); MONDO:0015469 craniosynostosis (0.56)	Lambdoid craniosynostosis; Non-deformational posterior plagiocephaly
ICD10CM:Q75.5	Oculomandibular dysostosis	ICD10CM:Q75	Other congenital malformations of skull and face bones	REVIEW-NEIGHBOURS	0.72	MONDO:0015397	otomandibular dysostosis		Oculomandibular dysostosis
ICD10CM:Q79.61	Classical Ehlers-Danlos syndrome	ICD10CM:Q79.6	Ehlers-Danlos syndromes	REVIEW-NEIGHBOURS	0.58	MONDO:0020066	Ehlers-Danlos syndromes	MONDO:0007522 Ehlers-Danlos syndrome, classic type (0.58)	Classical EDS (cEDS); Classical Ehlers-Danlos syndrome; classical eds
ICD10CM:Q91	Trisomy 18 and Trisomy 13	ICD10CM:Q90-Q99	Chromosomal abnormalities, not elsewhere classified (Q90-Q99)	REVIEW-NEIGHBOURS	0.65	MONDO:0018068	trisomy 13		Trisomy 18 and Trisomy 13
