icd	icd_label	depth	n_children	bucket	ambiguous_conjunction	n_existing_xrefs	existing_predicates	existing_mondo	match_tier	match_mondo	match_mondo_label	match_via	match_icd_form	n_match_cands	hp_hit
ICD10CM:Q04.1	Arhinencephaly	4	0	PHENOTYPE		1	orphanet-exact	MONDO:0009349	-					0	HP:0002139
ICD10CM:Q04.2	Holoprosencephaly	4	0	DISEASE		1	equivalentTo	MONDO:0016296	A	MONDO:0016296	holoprosencephaly	name	Holoprosencephaly	1	HP:0001360
ICD10CM:Q04.3	Other reduction deformities of brain	4	0	RESIDUAL		84	provenance-only:doid;provenance-only:orphanet	MONDO:0000087;MONDO:0000171;MONDO:0008811;MONDO:0008939;MONDO:0009042	A	MONDO:0016344	hydranencephaly	name	Hydranencephaly	1	
ICD10CM:Q04.4	Septo-optic dysplasia of brain	4	0	DISEASE		0			-					0	
ICD10CM:Q04.5	Megalencephaly	4	0	DISEASE		1	equivalentTo	MONDO:0016608	A	MONDO:0016608	megalencephaly	name	Megalencephaly	1	HP:0001355
ICD10CM:Q04.6	Congenital cerebral cysts	4	0	DISEASE		3	provenance-only:orphanet	MONDO:0010011;MONDO:0017410;MONDO:0020496	A	MONDO:0017410	porencephaly	name	Porencephaly	1	
ICD10CM:Q04.8	Other specified congenital malformations of brain	4	0	RESIDUAL		30	provenance-only:doid;provenance-only:orphanet	MONDO:0008428;MONDO:0009167;MONDO:0010569;MONDO:0011504;MONDO:0011818	B	MONDO:0005560	brain disorder	name	Other specified congenital malformations of brain	1	
ICD10CM:Q04.9	Congenital malformation of brain, unspecified	4	0	RESIDUAL		0			B	MONDO:0005560	brain disorder	name	Congenital malformation of brain, unspecified	1	
ICD10CM:Q05	Spina bifida	3	10	DISEASE		1	equivalentTo	MONDO:0008449	A	MONDO:0008449	spina bifida	name	Spina bifida	1	HP:0002414
ICD10CM:Q05.0	Cervical spina bifida with hydrocephalus	4	0	DISEASE		5	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017077;MONDO:0019351;MONDO:0019773	-					0	
ICD10CM:Q05.1	Thoracic spina bifida with hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.2	Lumbar spina bifida with hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.3	Sacral spina bifida with hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.4	Unspecified spina bifida with hydrocephalus	4	0	RESIDUAL		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.5	Cervical spina bifida without hydrocephalus	4	0	DISEASE		5	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017077;MONDO:0019351;MONDO:0019773	-					0	
ICD10CM:Q05.6	Thoracic spina bifida without hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.7	Lumbar spina bifida without hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.8	Sacral spina bifida without hydrocephalus	4	0	DISEASE		6	orphanet-btnt;provenance-only:orphanet	MONDO:0017062;MONDO:0017069;MONDO:0017076;MONDO:0017077;MONDO:0019351	-					0	
ICD10CM:Q05.9	Spina bifida, unspecified	4	0	RESIDUAL		9	orphanet-btnt;provenance-only:doid;provenance-only:orphanet	MONDO:0006995;MONDO:0012296;MONDO:0017062;MONDO:0017069;MONDO:0017076	A	MONDO:0008449	spina bifida	name	Spina bifida, unspecified	1	HP:0002414
ICD10CM:Q06	Other congenital malformations of spinal cord	3	7	RESIDUAL		0			B	MONDO:0002545	spinal cord disorder	name	Other congenital malformations of spinal cord	1	
ICD10CM:Q06.0	Amyelia	4	0	PHENOTYPE		1	orphanet-specific	MONDO:0017088	-					0	HP:0100566
ICD10CM:Q06.1	Hypoplasia and dysplasia of spinal cord	4	0	DISEASE		0			-					0	
ICD10CM:Q06.2	Diastematomyelia	4	0	DISEASE		1	equivalentTo	MONDO:0009106	A	MONDO:0009106	diastematomyelia	name	Diastematomyelia	1	
ICD10CM:Q06.3	Other congenital cauda equina malformations	4	0	RESIDUAL		0			-					0	
ICD10CM:Q06.4	Hydromyelia	4	0	PHENOTYPE		3	orphanet-exact;provenance-only:orphanet	MONDO:0017987;MONDO:0018257;MONDO:0020508	-					0	HP:0100565
ICD10CM:Q06.8	Other specified congenital malformations of spinal cord	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0019357	B	MONDO:0002545	spinal cord disorder	name	Other specified congenital malformations of spinal cord	1	
ICD10CM:Q06.9	Congenital malformation of spinal cord, unspecified	4	0	RESIDUAL		0			B	MONDO:0002545	spinal cord disorder	name	Congenital malformation of spinal cord, unspecified	1	
ICD10CM:Q07	Other congenital malformations of nervous system	3	3	RESIDUAL		0			B	MONDO:0002320	congenital nervous system disorder	name	Other congenital malformations of nervous system	2	
ICD10CM:Q07.0	Arnold-Chiari syndrome	4	4	DISEASE		1	orphanet-specific	MONDO:0008816	-					0	
ICD10CM:Q07.00	Arnold-Chiari syndrome without spina bifida or hydrocephalus	5	0	DISEASE		0			-					0	
ICD10CM:Q07.01	Arnold-Chiari syndrome with spina bifida	5	0	DISEASE		0			-					0	
ICD10CM:Q07.02	Arnold-Chiari syndrome with hydrocephalus	5	0	DISEASE		0			-					0	
ICD10CM:Q07.03	Arnold-Chiari syndrome with spina bifida and hydrocephalus	5	0	DISEASE		0			-					0	
ICD10CM:Q07.8	Other specified congenital malformations of nervous system	4	0	RESIDUAL		10	narrowerThanSource;other-mondo-qualifier:mondoSubClassOfSource;provenance-only:orphanet	MONDO:0007137;MONDO:0007946;MONDO:0011157;MONDO:0015101;MONDO:0018599	B	MONDO:0002320	congenital nervous system disorder	name	Other specified congenital malformations of nervous system	3	
ICD10CM:Q07.9	Congenital malformation of nervous system, unspecified	4	0	RESIDUAL		0			B	MONDO:0002320	congenital nervous system disorder	name	Congenital malformation of nervous system, unspecified	2	
ICD10CM:Q10	Congenital malformations of eyelid, lacrimal apparatus and orbit	3	8	CONTAINER		0			-					0	
ICD10CM:Q10-Q18	Congenital malformations of eye, ear, face and neck (Q10-Q18)	2	9	BLOCK		3	provenance-only:other	MONDO:0007500	-					0	
ICD10CM:Q10.0	Congenital ptosis	4	0	DISEASE		1	orphanet-specific	MONDO:0008340	A	MONDO:0000728	ptosis	name	Congenital ptosis	2	HP:0000508;HP:0007970
ICD10CM:Q10.1	Congenital ectropion	4	0	DISEASE		1	equivalentTo	MONDO:0020161	A	MONDO:0002043	ectropion	name	Congenital ectropion	2	HP:0000656
ICD10CM:Q10.2	Congenital entropion	4	0	DISEASE		1	equivalentTo	MONDO:0020159	A	MONDO:0001519	entropion	name	Congenital entropion	2	HP:0000621
ICD10CM:Q10.3	Other congenital malformations of eyelid	4	0	RESIDUAL		16	provenance-only:orphanet	MONDO:0007201;MONDO:0008182;MONDO:0008537;MONDO:0015480;MONDO:0015481	B	MONDO:0001008	blepharophimosis	name	Blepharophimosis, congenital	3	
ICD10CM:Q10.4	Absence and agenesis of lacrimal apparatus	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0008397	-					0	
ICD10CM:Q10.5	Congenital stenosis and stricture of lacrimal duct	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0007871	-					0	
ICD10CM:Q10.6	Other congenital malformations of lacrimal apparatus	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0019627	B	MONDO:0001854	lacrimal apparatus disorder	name	Other congenital malformations of lacrimal apparatus	1	
ICD10CM:Q10.7	Congenital malformation of orbit	4	0	CONTAINER		0			-					0	
ICD10CM:Q11	Anophthalmos, microphthalmos and macrophthalmos	3	4	CONTAINER		0			-					0	
ICD10CM:Q11.0	Cystic eyeball	4	0	DISEASE		9	orphanet-btnt;provenance-only:doid	MONDO:0009631;MONDO:0012409;MONDO:0012604;MONDO:0013130;MONDO:0013293	-					0	
ICD10CM:Q11.1	Other anophthalmos	4	0	RESIDUAL		2	orphanet-btnt	MONDO:0016764	-					0	
ICD10CM:Q11.2	Microphthalmos	4	0	DISEASE		15	orphanet-btnt;orphanet-specific;provenance-only:orphanet	MONDO:0000170;MONDO:0007410;MONDO:0010671;MONDO:0010672;MONDO:0011010	A	MONDO:0021129	microphthalmos	NARROW	Microphthalmos	1	HP:0000568
ICD10CM:Q11.3	Macrophthalmos	4	0	DISEASE		0			-					0	
ICD10CM:Q12	Congenital lens malformations	3	7	CONTAINER		0			B	MONDO:0001176	lens disorder	name	Congenital lens malformations	1	
ICD10CM:Q12.0	Congenital cataract	4	0	DISEASE		55	orphanet-specific;provenance-only:doid;provenance-only:orphanet	MONDO:0007278;MONDO:0007279;MONDO:0007280;MONDO:0007281;MONDO:0007282	A	MONDO:0005129	cataract	name	Congenital cataract	1	HP:0000518;HP:0000519
ICD10CM:Q12.1	Congenital displaced lens	4	0	DISEASE		2	orphanet-specific;provenance-only:orphanet	MONDO:0015998	-					0	
ICD10CM:Q12.2	Coloboma of lens	4	0	DISEASE		2	orphanet-specific;provenance-only:orphanet	MONDO:0007355;MONDO:0020355	-					0	
ICD10CM:Q12.3	Congenital aphakia	4	0	DISEASE		1	equivalentTo	MONDO:0012456	A	MONDO:0012456	congenital aphakia	EXACT	Congenital aphakia	1	HP:0007707;HP:6001302
ICD10CM:Q12.4	Spherophakia	4	0	PHENOTYPE		1	obsoleteEquivalent		-					0	HP:0034375
ICD10CM:Q12.8	Other congenital lens malformations	4	0	RESIDUAL		0			B	MONDO:0001176	lens disorder	name	Other congenital lens malformations	1	
ICD10CM:Q12.9	Congenital lens malformation, unspecified	4	0	RESIDUAL		0			B	MONDO:0001176	lens disorder	name	Congenital lens malformation, unspecified	1	
ICD10CM:Q13	Congenital malformations of anterior segment of eye	3	8	CONTAINER		0			-					0	
ICD10CM:Q13.0	Coloboma of iris	4	0	DISEASE		1	equivalentTo	MONDO:0020356	A	MONDO:0020356	coloboma of iris	name	Coloboma of iris	1	HP:0000612
ICD10CM:Q13.1	Absence of iris	4	0	DISEASE		1	equivalentTo	MONDO:0019172	A	MONDO:0019172	aniridia	name	Aniridia	1	
ICD10CM:Q13.2	Other congenital malformations of iris	4	0	RESIDUAL		0			B	MONDO:0002289	iris disorder	name	Other congenital malformations of iris	3	
ICD10CM:Q13.3	Congenital corneal opacity	4	0	PHENOTYPE		2	orphanet-specific;provenance-only:orphanet	MONDO:0015095;MONDO:0019629	-					0	HP:0007957
ICD10CM:Q13.4	Other congenital corneal malformations	4	0	RESIDUAL		1	equivalentTo	MONDO:0000733	B	MONDO:0000942	corneal disorder	name	Other congenital corneal malformations	1	
ICD10CM:Q13.5	Blue sclera	4	0	PHENOTYPE		0			-					0	HP:0000592
ICD10CM:Q13.8	Other congenital malformations of anterior segment of eye	4	2	RESIDUAL		8	provenance-only:doid;provenance-only:orphanet	MONDO:0007138;MONDO:0008386;MONDO:0011097;MONDO:0011233;MONDO:0015300	-					0	
ICD10CM:Q13.81	Rieger anomaly	5	0	DISEASE		1	provenance-only:doid	MONDO:0019187	A	MONDO:0019628	Rieger anomaly	name	Rieger anomaly	1	HP:0000558
ICD10CM:Q13.89	Other congenital malformations of anterior segment of eye	5	0	RESIDUAL		0			-					0	
ICD10CM:Q13.9	Congenital malformation of anterior segment of eye, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q14	Congenital malformations of posterior segment of eye	3	6	CONTAINER		0			-					0	
ICD10CM:Q14.0	Congenital malformation of vitreous humor	4	0	CONTAINER		1	provenance-only:orphanet	MONDO:0019631	B	MONDO:0004860	disease of vitreous humor	EXACT	Congenital malformation of vitreous humor	1	
ICD10CM:Q14.1	Congenital malformation of retina	4	0	CONTAINER		4	provenance-only:orphanet	MONDO:0008373;MONDO:0010722;MONDO:0010725;MONDO:0020247	-					0	
ICD10CM:Q14.2	Congenital malformation of optic disc	4	0	CONTAINER		5	narrowerThanSource;provenance-only:orphanet	MONDO:0007354;MONDO:0018169	-					0	
ICD10CM:Q14.3	Congenital malformation of choroid	4	0	CONTAINER		0			B	MONDO:0001898	choroid disorder	EXACT	Congenital malformation of choroid	1	
ICD10CM:Q14.8	Other congenital malformations of posterior segment of eye	4	0	RESIDUAL		4	provenance-only:orphanet	MONDO:0007351;MONDO:0008927;MONDO:0018145;MONDO:0020354	-					0	
ICD10CM:Q14.9	Congenital malformation of posterior segment of eye, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q15	Other congenital malformations of eye	3	3	RESIDUAL		0			B	MONDO:0005328	eye disorder	name	Other congenital malformations of eye	1	
ICD10CM:Q15.0	Congenital glaucoma	4	0	DISEASE		2	orphanet-specific;provenance-only:orphanet	MONDO:0020366;MONDO:0020368	A	MONDO:0005041	glaucoma	name	Congenital glaucoma	2	HP:0000501
ICD10CM:Q15.8	Other specified congenital malformations of eye	4	0	RESIDUAL		13	provenance-only:orphanet	MONDO:0007202;MONDO:0007992;MONDO:0010649;MONDO:0012216;MONDO:0012605	B	MONDO:0005328	eye disorder	name	Other specified congenital malformations of eye	1	
ICD10CM:Q15.9	Congenital malformation of eye, unspecified	4	0	RESIDUAL		0			B	MONDO:0005328	eye disorder	name	Congenital malformation of eye, unspecified	1	
ICD10CM:Q16	Congenital malformations of ear causing impairment of hearing	3	7	CONTAINER		0			-					0	
ICD10CM:Q16.0	Congenital absence of (ear) auricle	4	0	DISEASE		1	orphanet-specific	MONDO:0019780	-					0	
ICD10CM:Q16.1	Congenital absence, atresia and stricture of auditory canal (external)	4	0	CONTAINER		2	orphanet-specific	MONDO:0019780	-					0	
ICD10CM:Q16.2	Absence of eustachian tube	4	0	DISEASE		0			-					0	
ICD10CM:Q16.3	Congenital malformation of ear ossicles	4	0	CONTAINER		2	orphanet-btnt;orphanet-exact	MONDO:0015570;MONDO:0015604	-					0	
ICD10CM:Q16.4	Other congenital malformations of middle ear	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0015604	B	MONDO:0003276	middle ear disorder	name	Other congenital malformations of middle ear	2	
ICD10CM:Q16.5	Congenital malformation of inner ear	4	0	CONTAINER		1	provenance-only:orphanet	MONDO:0012541	B	MONDO:0002467	inner ear disorder	name	Congenital malformation of inner ear	1	
ICD10CM:Q16.9	Congenital malformation of ear causing impairment of hearing, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q17	Other congenital malformations of ear	3	8	RESIDUAL		0			B	MONDO:0007500	ear malformation	name	Other congenital malformations of ear	2	
ICD10CM:Q17.0	Accessory auricle	4	0	DISEASE		0			-					0	
ICD10CM:Q17.1	Macrotia	4	0	PHENOTYPE		0			-					0	HP:0000400
ICD10CM:Q17.2	Microtia	4	0	DISEASE		1	equivalentTo	MONDO:0010920	A	MONDO:0010920	microtia	name	Microtia	1	HP:0008551
ICD10CM:Q17.3	Other misshapen ear	4	0	RESIDUAL		0			-					0	
ICD10CM:Q17.4	Misplaced ear	4	0	DISEASE		0			-					0	
ICD10CM:Q17.5	Prominent ear	4	0	PHENOTYPE		0			-					0	HP:0000411
ICD10CM:Q17.8	Other specified congenital malformations of ear	4	0	RESIDUAL		0			B	MONDO:0007500	ear malformation	name	Other specified congenital malformations of ear	2	
ICD10CM:Q17.9	Congenital malformation of ear, unspecified	4	0	RESIDUAL		0			B	MONDO:0007500	ear malformation	name	Congenital malformation of ear, unspecified	2	
ICD10CM:Q18	Other congenital malformations of face and neck	3	10	RESIDUAL		0			-					0	
ICD10CM:Q18.0	Sinus, fistula and cyst of branchial cleft	4	0	CONTAINER		5	provenance-only:orphanet	MONDO:0007233;MONDO:0015376;MONDO:0015377;MONDO:0015378;MONDO:0015476	-					0	
ICD10CM:Q18.1	Preauricular sinus and cyst	4	0	DISEASE		0			-					0	
ICD10CM:Q18.2	Other branchial cleft malformations	4	0	RESIDUAL		1	provenance-only:doid	MONDO:0008740	B	MONDO:0007233	branchial cleft	EXACT	Other branchial cleft malformations	2	
ICD10CM:Q18.3	Webbing of neck	4	0	DISEASE		0			-					0	
ICD10CM:Q18.4	Macrostomia	4	0	DISEASE		1	equivalentTo	MONDO:0013300	A	MONDO:0013300	macrostomia	EXACT	Macrostomia	1	HP:0000154
ICD10CM:Q18.5	Microstomia	4	0	PHENOTYPE		0			-					0	HP:0000160
ICD10CM:Q18.6	Macrocheilia	4	0	DISEASE		0			-					0	
ICD10CM:Q18.7	Microcheilia	4	0	DISEASE		0			-					0	
ICD10CM:Q18.8	Other specified congenital malformations of face and neck	4	0	RESIDUAL		18	provenance-only:orphanet	MONDO:0007235;MONDO:0007904;MONDO:0010850;MONDO:0010921;MONDO:0015379	-					0	
ICD10CM:Q18.9	Congenital malformation of face and neck, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q20	Congenital malformations of cardiac chambers and connections	3	9	CONTAINER		0			-					0	
ICD10CM:Q20-Q28	Congenital malformations of the circulatory system (Q20-Q28)	2	9	BLOCK		1	provenance-only:other	MONDO:0024239	-					0	
ICD10CM:Q20.0	Common arterial trunk	4	0	DISEASE		1	equivalentTo	MONDO:0018072	A	MONDO:0018072	common arterial trunk	EXACT	Common arterial trunk	1	HP:0001660
ICD10CM:Q20.1	Double outlet right ventricle	4	0	LATERALITY		1	equivalentTo	MONDO:0018089	A	MONDO:0018089	double outlet right ventricle	name	Double outlet right ventricle	1	HP:0001719
ICD10CM:Q20.2	Double outlet left ventricle	4	0	LATERALITY		1	equivalentTo	MONDO:0018090	A	MONDO:0018090	double outlet left ventricle	name	Double outlet left ventricle	1	HP:0011581
ICD10CM:Q20.3	Discordant ventriculoarterial connection	4	0	DISEASE		7	orphanet-btnt;provenance-only:doid;provenance-only:orphanet	MONDO:0000153;MONDO:0013463;MONDO:0016302;MONDO:0016303;MONDO:0019443	A	MONDO:0000153	transposition of great vessels	EXACT	Transposition of great vessels (complete)	1	
ICD10CM:Q20.4	Double inlet ventricle	4	0	DISEASE		2	orphanet-exact;provenance-only:orphanet	MONDO:0015451;MONDO:0020409	-					0	
ICD10CM:Q20.5	Discordant atrioventricular connection	4	0	PHENOTYPE		2	orphanet-btnt;orphanet-exact	MONDO:0000153;MONDO:0016301	A	MONDO:0016301	ventricular inversion	EXACT	Ventricular inversion	1	HP:0011553
ICD10CM:Q20.6	Isomerism of atrial appendages	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0008832	-					0	
ICD10CM:Q20.8	Other congenital malformations of cardiac chambers and connections	4	0	RESIDUAL		8	provenance-only:orphanet	MONDO:0015666;MONDO:0018082;MONDO:0020410;MONDO:0020411;MONDO:0020431	-					0	
ICD10CM:Q20.9	Congenital malformation of cardiac chambers and connections, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q21	Congenital malformations of cardiac septa	3	7	CONTAINER		1	provenance-only:doid	MONDO:0002078	-					0	
ICD10CM:Q21.0	Ventricular septal defect	4	0	DISEASE		1	equivalentTo	MONDO:0002070	A	MONDO:0002070	ventricular septal defect	name	Ventricular septal defect	1	HP:0001629
ICD10CM:Q21.1	Atrial septal defect	4	8	DISEASE		1	equivalentTo	MONDO:0006664	A	MONDO:0006664	atrial septal defect	name	Atrial septal defect	1	HP:0001631
ICD10CM:Q21.10	Atrial septal defect, unspecified	5	0	RESIDUAL		0			A	MONDO:0006664	atrial septal defect	name	Atrial septal defect, unspecified	1	HP:0001631
ICD10CM:Q21.11	Secundum atrial septal defect	5	0	PHENOTYPE		0			-					0	HP:0001684
ICD10CM:Q21.12	Patent foramen ovale	5	0	DISEASE		0			A	MONDO:0020439	patent foramen ovale	name	Patent foramen ovale	1	HP:0001655
ICD10CM:Q21.13	Coronary sinus atrial septal defect	5	0	PHENOTYPE		0			B	MONDO:0020435	atrial septal defect, coronary sinus type	name	Coronary sinus atrial septal defect	1	HP:0011643
ICD10CM:Q21.14	Superior sinus venosus atrial septal defect	5	0	DISEASE		0			-					0	
ICD10CM:Q21.15	Inferior sinus venosus atrial septal defect	5	0	DISEASE		0			-					0	
ICD10CM:Q21.16	Sinus venosus atrial septal defect, unspecified	5	0	RESIDUAL		0			B	MONDO:0020436	atrial septal defect, sinus venosus type	name	Sinus venosus atrial septal defect, unspecified	1	HP:0011567
ICD10CM:Q21.19	Other specified atrial septal defect	5	0	RESIDUAL		0			B	MONDO:0006664	atrial septal defect	name	Other specified atrial septal defect	1	
ICD10CM:Q21.2	Atrioventricular septal defect	4	4	DISEASE		1	equivalentTo	MONDO:0020290	A	MONDO:0859565	atrioventricular septal defect	name	Atrioventricular septal defect	2	HP:0006695
ICD10CM:Q21.20	Atrioventricular septal defect, unspecified as to partial or complete	5	0	RESIDUAL		0			B	MONDO:0020437	atrial septal defect, ostium primum type	name	Ostium primum atrial septal defect (type I) NOS	2	
ICD10CM:Q21.21	Partial atrioventricular septal defect	5	0	DISEASE		0			A	MONDO:0020437	partial atrioventricular septal defect	EXACT	Partial atrioventricular septal defect	1	HP:0011577
ICD10CM:Q21.22	Transitional atrioventricular septal defect	5	0	DISEASE		0			-					0	
ICD10CM:Q21.23	Complete atrioventricular septal defect	5	0	DISEASE		0			A	MONDO:0015273	complete atrioventricular septal defect	EXACT	Complete atrioventricular septal defect	1	HP:0001674
ICD10CM:Q21.3	Tetralogy of Fallot	4	0	DISEASE		1	equivalentTo	MONDO:0008542	A	MONDO:0008542	tetralogy of fallot	name	Tetralogy of Fallot	1	HP:0001636
ICD10CM:Q21.4	Aortopulmonary septal defect	4	0	DISEASE		1	equivalentTo	MONDO:0021902	A	MONDO:0016077	congenital aortopulmonary septal defect	EXACT	Aortopulmonary septal defect	2	
ICD10CM:Q21.8	Other congenital malformations of cardiac septa	4	0	RESIDUAL		0			-					0	
ICD10CM:Q21.9	Congenital malformation of cardiac septum, unspecified	4	0	RESIDUAL		1	provenance-only:doid	MONDO:0002078	A	MONDO:0002078	congenital septal defect	EXACT	Septal (heart) defect NOS	1	
ICD10CM:Q22	Congenital malformations of pulmonary and tricuspid valves	3	9	CONTAINER		0			-					0	
ICD10CM:Q22.0	Pulmonary valve atresia	4	0	PHENOTYPE		0			-					0	HP:0010882
ICD10CM:Q22.1	Congenital pulmonary valve stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0017865	A	MONDO:0006936	pulmonary valve stenosis	name	Congenital pulmonary valve stenosis	2	HP:0001642
ICD10CM:Q22.2	Congenital pulmonary valve insufficiency	4	0	DISEASE		3	provenance-only:orphanet	MONDO:0015103;MONDO:0020064;MONDO:0020389	A	MONDO:0001927	pulmonary valve insufficiency	name	Congenital pulmonary valve insufficiency	1	HP:0010444
ICD10CM:Q22.3	Other congenital malformations of pulmonary valve	4	0	RESIDUAL		0			B	MONDO:0003628	pulmonary valve disorder	name	Other congenital malformations of pulmonary valve	1	
ICD10CM:Q22.4	Congenital tricuspid stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0019813	A	MONDO:0019813	congenital tricuspid stenosis	name	Congenital tricuspid stenosis	2	HP:0010446
