icd	icd_label	bucket	hp_equivalent	currently_xreffed
ICD10CM:Q89.1	Congenital malformations of adrenal gland	CONTAINER		
ICD10CM:Q89.2	Congenital malformations of other endocrine glands	CONTAINER		YES
ICD10CM:Q89.7	Multiple congenital malformations, not elsewhere classified	CONTAINER		YES
ICD10CM:Q93	Monosomies and deletions from the autosomes, not elsewhere classified	CONTAINER		
ICD10CM:Q95	Balanced rearrangements and structural markers, not elsewhere classified	CONTAINER		
ICD10CM:Q20.1	Double outlet right ventricle	LATERALITY	HP:0001719	YES
ICD10CM:Q20.2	Double outlet left ventricle	LATERALITY	HP:0011581	YES
ICD10CM:Q36.0	Cleft lip, bilateral	LATERALITY		YES
ICD10CM:Q36.9	Cleft lip, unilateral	LATERALITY		YES
ICD10CM:Q37.0	Cleft hard palate with bilateral cleft lip	LATERALITY		YES
ICD10CM:Q37.1	Cleft hard palate with unilateral cleft lip	LATERALITY		YES
ICD10CM:Q37.2	Cleft soft palate with bilateral cleft lip	LATERALITY		YES
ICD10CM:Q37.3	Cleft soft palate with unilateral cleft lip	LATERALITY		YES
ICD10CM:Q37.4	Cleft hard and soft palate with bilateral cleft lip	LATERALITY		YES
ICD10CM:Q37.5	Cleft hard and soft palate with unilateral cleft lip	LATERALITY		YES
ICD10CM:Q50.01	Congenital absence of ovary, unilateral	LATERALITY		
ICD10CM:Q50.02	Congenital absence of ovary, bilateral	LATERALITY		
ICD10CM:Q52.121	Longitudinal vaginal septum, obstructing, right side	LATERALITY		
ICD10CM:Q52.122	Longitudinal vaginal septum, obstructing, left side	LATERALITY		
ICD10CM:Q52.123	Longitudinal vaginal septum, microperforate, right side	LATERALITY		
ICD10CM:Q52.124	Longitudinal vaginal septum, microperforate, left side	LATERALITY		
ICD10CM:Q53.01	Ectopic testis, unilateral	LATERALITY		
ICD10CM:Q53.1	Undescended testicle, unilateral	LATERALITY		
ICD10CM:Q53.2	Undescended testicle, bilateral	LATERALITY		
ICD10CM:Q60.0	Renal agenesis, unilateral	LATERALITY		YES
ICD10CM:Q60.1	Renal agenesis, bilateral	LATERALITY		YES
ICD10CM:Q60.3	Renal hypoplasia, unilateral	LATERALITY		YES
ICD10CM:Q60.4	Renal hypoplasia, bilateral	LATERALITY		YES
ICD10CM:Q65.0	Congenital dislocation of hip, unilateral	LATERALITY		
ICD10CM:Q65.01	Congenital dislocation of right hip, unilateral	LATERALITY		
ICD10CM:Q65.02	Congenital dislocation of left hip, unilateral	LATERALITY		
ICD10CM:Q65.1	Congenital dislocation of hip, bilateral	LATERALITY		
ICD10CM:Q65.3	Congenital partial dislocation of hip, unilateral	LATERALITY		
ICD10CM:Q65.31	Congenital partial dislocation of right hip, unilateral	LATERALITY		
ICD10CM:Q65.32	Congenital partial dislocation of left hip, unilateral	LATERALITY		
ICD10CM:Q65.4	Congenital partial dislocation of hip, bilateral	LATERALITY		
ICD10CM:Q66.01	Congenital talipes equinovarus, right foot	LATERALITY		
ICD10CM:Q66.02	Congenital talipes equinovarus, left foot	LATERALITY		
ICD10CM:Q66.11	Congenital talipes calcaneovarus, right foot	LATERALITY		
ICD10CM:Q66.12	Congenital talipes calcaneovarus, left foot	LATERALITY		
ICD10CM:Q66.211	Congenital metatarsus primus varus, right foot	LATERALITY		
ICD10CM:Q66.212	Congenital metatarsus primus varus, left foot	LATERALITY		
ICD10CM:Q66.221	Congenital metatarsus adductus, right foot	LATERALITY		
ICD10CM:Q66.222	Congenital metatarsus adductus, left foot	LATERALITY		
ICD10CM:Q66.41	Congenital talipes calcaneovalgus, right foot	LATERALITY		
ICD10CM:Q66.42	Congenital talipes calcaneovalgus, left foot	LATERALITY		
ICD10CM:Q66.51	Congenital pes planus, right foot	LATERALITY		
ICD10CM:Q66.52	Congenital pes planus, left foot	LATERALITY		
ICD10CM:Q66.71	Congenital pes cavus, right foot	LATERALITY		
ICD10CM:Q66.72	Congenital pes cavus, left foot	LATERALITY		
ICD10CM:Q66.81	Congenital vertical talus deformity, right foot	LATERALITY		
ICD10CM:Q66.82	Congenital vertical talus deformity, left foot	LATERALITY		
ICD10CM:Q70.01	Fused fingers, right hand	LATERALITY		
ICD10CM:Q70.02	Fused fingers, left hand	LATERALITY		
ICD10CM:Q70.11	Webbed fingers, right hand	LATERALITY		
ICD10CM:Q70.12	Webbed fingers, left hand	LATERALITY		
ICD10CM:Q70.21	Fused toes, right foot	LATERALITY		
ICD10CM:Q70.22	Fused toes, left foot	LATERALITY		
ICD10CM:Q70.31	Webbed toes, right foot	LATERALITY		
ICD10CM:Q70.32	Webbed toes, left foot	LATERALITY		
ICD10CM:Q71.01	Congenital complete absence of right upper limb	LATERALITY		
ICD10CM:Q71.02	Congenital complete absence of left upper limb	LATERALITY		
ICD10CM:Q71.03	Congenital complete absence of upper limb, bilateral	LATERALITY		
ICD10CM:Q71.11	Congenital absence of right upper arm and forearm with hand present	LATERALITY		
ICD10CM:Q71.12	Congenital absence of left upper arm and forearm with hand present	LATERALITY		
ICD10CM:Q71.13	Congenital absence of upper arm and forearm with hand present, bilateral	LATERALITY		YES
ICD10CM:Q71.21	Congenital absence of both forearm and hand, right upper limb	LATERALITY		
ICD10CM:Q71.22	Congenital absence of both forearm and hand, left upper limb	LATERALITY		
ICD10CM:Q71.31	Congenital absence of right hand and finger	LATERALITY		
ICD10CM:Q71.32	Congenital absence of left hand and finger	LATERALITY		
ICD10CM:Q71.33	Congenital absence of hand and finger, bilateral	LATERALITY		
ICD10CM:Q71.41	Longitudinal reduction defect of right radius	LATERALITY		
ICD10CM:Q71.42	Longitudinal reduction defect of left radius	LATERALITY		
ICD10CM:Q71.43	Longitudinal reduction defect of radius, bilateral	LATERALITY		
ICD10CM:Q71.51	Longitudinal reduction defect of right ulna	LATERALITY		
ICD10CM:Q71.52	Longitudinal reduction defect of left ulna	LATERALITY		
ICD10CM:Q71.53	Longitudinal reduction defect of ulna, bilateral	LATERALITY		
ICD10CM:Q71.61	Lobster-claw right hand	LATERALITY		
ICD10CM:Q71.62	Lobster-claw left hand	LATERALITY		
ICD10CM:Q71.63	Lobster-claw hand, bilateral	LATERALITY		
ICD10CM:Q71.811	Congenital shortening of right upper limb	LATERALITY		
ICD10CM:Q71.812	Congenital shortening of left upper limb	LATERALITY		
ICD10CM:Q71.813	Congenital shortening of upper limb, bilateral	LATERALITY		
ICD10CM:Q72.01	Congenital complete absence of right lower limb	LATERALITY		
ICD10CM:Q72.02	Congenital complete absence of left lower limb	LATERALITY		
ICD10CM:Q72.03	Congenital complete absence of lower limb, bilateral	LATERALITY		
ICD10CM:Q72.11	Congenital absence of right thigh and lower leg with foot present	LATERALITY		
ICD10CM:Q72.12	Congenital absence of left thigh and lower leg with foot present	LATERALITY		
ICD10CM:Q72.13	Congenital absence of thigh and lower leg with foot present, bilateral	LATERALITY		YES
ICD10CM:Q72.21	Congenital absence of both lower leg and foot, right lower limb	LATERALITY		
ICD10CM:Q72.22	Congenital absence of both lower leg and foot, left lower limb	LATERALITY		
ICD10CM:Q72.31	Congenital absence of right foot and toe(s)	LATERALITY		
ICD10CM:Q72.32	Congenital absence of left foot and toe(s)	LATERALITY		
ICD10CM:Q72.33	Congenital absence of foot and toe(s), bilateral	LATERALITY		
ICD10CM:Q72.41	Longitudinal reduction defect of right femur	LATERALITY		
ICD10CM:Q72.42	Longitudinal reduction defect of left femur	LATERALITY		
ICD10CM:Q72.43	Longitudinal reduction defect of femur, bilateral	LATERALITY		
ICD10CM:Q72.51	Longitudinal reduction defect of right tibia	LATERALITY		
ICD10CM:Q72.52	Longitudinal reduction defect of left tibia	LATERALITY		
ICD10CM:Q72.53	Longitudinal reduction defect of tibia, bilateral	LATERALITY		
ICD10CM:Q72.61	Longitudinal reduction defect of right fibula	LATERALITY		
ICD10CM:Q72.62	Longitudinal reduction defect of left fibula	LATERALITY		
ICD10CM:Q72.63	Longitudinal reduction defect of fibula, bilateral	LATERALITY		
ICD10CM:Q72.71	Split foot, right lower limb	LATERALITY		
ICD10CM:Q72.72	Split foot, left lower limb	LATERALITY		
ICD10CM:Q72.811	Congenital shortening of right lower limb	LATERALITY		
ICD10CM:Q72.812	Congenital shortening of left lower limb	LATERALITY		
ICD10CM:Q72.813	Congenital shortening of lower limb, bilateral	LATERALITY		
ICD10CM:Q75.021	Coronal craniosynostosis unilateral	LATERALITY		
ICD10CM:Q75.022	Coronal craniosynostosis bilateral	LATERALITY		
ICD10CM:Q75.041	Lambdoid craniosynostosis, unilateral	LATERALITY		
ICD10CM:Q75.042	Lambdoid craniosynostosis, bilateral	LATERALITY		
ICD10CM:Q01.1	Nasofrontal encephalocele	PHENOTYPE	HP:0011818	YES
ICD10CM:Q04.1	Arhinencephaly	PHENOTYPE	HP:0002139	YES
ICD10CM:Q06.0	Amyelia	PHENOTYPE	HP:0100566	YES
ICD10CM:Q06.4	Hydromyelia	PHENOTYPE	HP:0100565	YES
ICD10CM:Q12.4	Spherophakia	PHENOTYPE	HP:0034375	YES
ICD10CM:Q13.3	Congenital corneal opacity	PHENOTYPE	HP:0007957	YES
ICD10CM:Q13.5	Blue sclera	PHENOTYPE	HP:0000592	
ICD10CM:Q17.1	Macrotia	PHENOTYPE	HP:0000400	
ICD10CM:Q17.5	Prominent ear	PHENOTYPE	HP:0000411	
ICD10CM:Q18.5	Microstomia	PHENOTYPE	HP:0000160	
ICD10CM:Q20.5	Discordant atrioventricular connection	PHENOTYPE	HP:0011553	YES
ICD10CM:Q21.11	Secundum atrial septal defect	PHENOTYPE	HP:0001684	
ICD10CM:Q21.13	Coronary sinus atrial septal defect	PHENOTYPE	HP:0011643	
ICD10CM:Q22.0	Pulmonary valve atresia	PHENOTYPE	HP:0010882	
ICD10CM:Q23.81	Bicuspid aortic valve	PHENOTYPE	HP:0001647	
ICD10CM:Q24.4	Congenital subaortic stenosis	PHENOTYPE	HP:0001682	YES
ICD10CM:Q25.1	Coarctation of aorta	PHENOTYPE	HP:0001680	YES
ICD10CM:Q25.45	Double aortic arch	PHENOTYPE	HP:0011590	
ICD10CM:Q25.72	Congenital pulmonary arteriovenous malformation	PHENOTYPE	HP:0006548	
ICD10CM:Q26.1	Persistent left superior vena cava	PHENOTYPE	HP:0005301	YES
ICD10CM:Q26.2	Total anomalous pulmonary venous connection	PHENOTYPE	HP:0005160	YES
ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	PHENOTYPE	HP:0100026	YES
ICD10CM:Q31.2	Laryngeal hypoplasia	PHENOTYPE	HP:0008749	
ICD10CM:Q32.2	Congenital bronchomalacia	PHENOTYPE	HP:0002780	
ICD10CM:Q35.7	Cleft uvula	PHENOTYPE	HP:0000193	YES
ICD10CM:Q39.4	Esophageal web	PHENOTYPE	HP:0100594	
ICD10CM:Q43.5	Ectopic anus	PHENOTYPE	HP:0004397	
ICD10CM:Q43.7	Persistent cloaca	PHENOTYPE	HP:0012621	
ICD10CM:Q51.820	Cervical duplication	PHENOTYPE	HP:6000414	
ICD10CM:Q52.2	Congenital rectovaginal fistula	PHENOTYPE	HP:0000143	
ICD10CM:Q52.3	Imperforate hymen	PHENOTYPE	HP:0030011	YES
ICD10CM:Q53.0	Ectopic testis	PHENOTYPE	HP:6000460	
ICD10CM:Q54.4	Congenital chordee	PHENOTYPE	HP:0000041	YES
ICD10CM:Q55.22	Retractile testis	PHENOTYPE	HP:0012646	
ICD10CM:Q55.62	Hypoplasia of penis	PHENOTYPE	HP:0008736	
ICD10CM:Q61.0	Congenital renal cyst	PHENOTYPE	HP:0000107	
ICD10CM:Q61.02	Congenital multiple renal cysts	PHENOTYPE	HP:0005562	
ICD10CM:Q62.2	Congenital megaureter	PHENOTYPE	HP:0000072;HP:0008676	YES
ICD10CM:Q63.2	Ectopic kidney	PHENOTYPE	HP:0000086	
ICD10CM:Q64.73	Congenital urethrorectal fistula	PHENOTYPE	HP:0025407	
ICD10CM:Q65.81	Congenital coxa valga	PHENOTYPE	HP:0002673	
ICD10CM:Q66.1	Congenital talipes calcaneovarus	PHENOTYPE	HP:0008124	
ICD10CM:Q66.2	Congenital metatarsus (primus) varus	PHENOTYPE	HP:0001840	
ICD10CM:Q66.22	Congenital metatarsus adductus	PHENOTYPE	HP:0001840	
ICD10CM:Q66.4	Congenital talipes calcaneovalgus	PHENOTYPE	HP:0001884;HP:0005850	
ICD10CM:Q66.5	Congenital pes planus	PHENOTYPE	HP:0001763	
ICD10CM:Q66.7	Congenital pes cavus	PHENOTYPE	HP:0001761	
ICD10CM:Q67.0	Congenital facial asymmetry	PHENOTYPE	HP:0000324	
ICD10CM:Q67.2	Dolichocephaly	PHENOTYPE	HP:0000268	
ICD10CM:Q67.3	Plagiocephaly	PHENOTYPE	HP:0001357	YES
ICD10CM:Q67.7	Pectus carinatum	PHENOTYPE	HP:0000768	
ICD10CM:Q70.1	Webbed fingers	PHENOTYPE	HP:0010554	YES
ICD10CM:Q70.2	Fused toes	PHENOTYPE	HP:0001770	YES
ICD10CM:Q70.3	Webbed toes	PHENOTYPE	HP:0001770	YES
ICD10CM:Q71.6	Lobster-claw hand	PHENOTYPE	HP:0100257	YES
ICD10CM:Q75.01	Sagittal craniosynostosis	PHENOTYPE	HP:0004442	
ICD10CM:Q75.02	Coronal craniosynostosis	PHENOTYPE	HP:0004440	
ICD10CM:Q75.03	Metopic craniosynostosis	PHENOTYPE	HP:0011330	
ICD10CM:Q75.051	Cloverleaf skull	PHENOTYPE	HP:0002676	
ICD10CM:Q75.052	Pansynostosis	PHENOTYPE	HP:0011325	
ICD10CM:Q75.2	Hypertelorism	PHENOTYPE	HP:0000316	
ICD10CM:Q75.3	Macrocephaly	PHENOTYPE	HP:0000256;HP:0004488	YES
ICD10CM:Q76.41	Congenital kyphosis	PHENOTYPE	HP:0002808	
ICD10CM:Q76.42	Congenital lordosis	PHENOTYPE	HP:0003307	
ICD10CM:Q78.5	Metaphyseal dysplasia	PHENOTYPE	HP:0100255	YES
ICD10CM:Q78.6	Multiple congenital exostoses	PHENOTYPE	HP:0002762	YES
ICD10CM:Q82.6	Congenital sacral dimple	PHENOTYPE	HP:0000960	
ICD10CM:Q83.2	Absent nipple	PHENOTYPE	HP:0002561	
ICD10CM:Q83.3	Accessory nipple	PHENOTYPE	HP:0002558	YES
ICD10CM:Q84.3	Anonychia	PHENOTYPE	HP:0001798	YES
ICD10CM:Q84.4	Congenital leukonychia	PHENOTYPE	HP:0001820	YES
ICD10CM:Q89.01	Asplenia (congenital)	PHENOTYPE	HP:0001746	
ICD10CM:Q01.9	Encephalocele, unspecified	RESIDUAL	HP:0002084	YES
ICD10CM:Q03.8	Other congenital hydrocephalus	RESIDUAL		YES
ICD10CM:Q03.9	Congenital hydrocephalus, unspecified	RESIDUAL	HP:0000238	YES
ICD10CM:Q04	Other congenital malformations of brain	RESIDUAL		
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL		YES
ICD10CM:Q04.8	Other specified congenital malformations of brain	RESIDUAL		YES
ICD10CM:Q04.9	Congenital malformation of brain, unspecified	RESIDUAL		
ICD10CM:Q05.4	Unspecified spina bifida with hydrocephalus	RESIDUAL		YES
ICD10CM:Q05.9	Spina bifida, unspecified	RESIDUAL	HP:0002414	YES
ICD10CM:Q06	Other congenital malformations of spinal cord	RESIDUAL		
ICD10CM:Q06.3	Other congenital cauda equina malformations	RESIDUAL		
ICD10CM:Q06.8	Other specified congenital malformations of spinal cord	RESIDUAL		YES
ICD10CM:Q06.9	Congenital malformation of spinal cord, unspecified	RESIDUAL		
ICD10CM:Q07	Other congenital malformations of nervous system	RESIDUAL		
ICD10CM:Q07.8	Other specified congenital malformations of nervous system	RESIDUAL		YES
ICD10CM:Q07.9	Congenital malformation of nervous system, unspecified	RESIDUAL		
ICD10CM:Q10.3	Other congenital malformations of eyelid	RESIDUAL		YES
ICD10CM:Q10.6	Other congenital malformations of lacrimal apparatus	RESIDUAL		YES
ICD10CM:Q11.1	Other anophthalmos	RESIDUAL		YES
ICD10CM:Q12.8	Other congenital lens malformations	RESIDUAL		
ICD10CM:Q12.9	Congenital lens malformation, unspecified	RESIDUAL		
ICD10CM:Q13.2	Other congenital malformations of iris	RESIDUAL		
ICD10CM:Q13.4	Other congenital corneal malformations	RESIDUAL		YES
ICD10CM:Q13.8	Other congenital malformations of anterior segment of eye	RESIDUAL		YES
ICD10CM:Q13.89	Other congenital malformations of anterior segment of eye	RESIDUAL		
ICD10CM:Q13.9	Congenital malformation of anterior segment of eye, unspecified	RESIDUAL		
ICD10CM:Q14.8	Other congenital malformations of posterior segment of eye	RESIDUAL		YES
ICD10CM:Q14.9	Congenital malformation of posterior segment of eye, unspecified	RESIDUAL		
ICD10CM:Q15	Other congenital malformations of eye	RESIDUAL		
ICD10CM:Q15.8	Other specified congenital malformations of eye	RESIDUAL		YES
ICD10CM:Q15.9	Congenital malformation of eye, unspecified	RESIDUAL		
ICD10CM:Q16.4	Other congenital malformations of middle ear	RESIDUAL		YES
ICD10CM:Q16.9	Congenital malformation of ear causing impairment of hearing, unspecified	RESIDUAL		
ICD10CM:Q17	Other congenital malformations of ear	RESIDUAL		
ICD10CM:Q17.3	Other misshapen ear	RESIDUAL		
ICD10CM:Q17.8	Other specified congenital malformations of ear	RESIDUAL		
ICD10CM:Q17.9	Congenital malformation of ear, unspecified	RESIDUAL		
ICD10CM:Q18	Other congenital malformations of face and neck	RESIDUAL		
ICD10CM:Q18.2	Other branchial cleft malformations	RESIDUAL		YES
ICD10CM:Q18.8	Other specified congenital malformations of face and neck	RESIDUAL		YES
ICD10CM:Q18.9	Congenital malformation of face and neck, unspecified	RESIDUAL		
ICD10CM:Q20.8	Other congenital malformations of cardiac chambers and connections	RESIDUAL		YES
ICD10CM:Q20.9	Congenital malformation of cardiac chambers and connections, unspecified	RESIDUAL		
ICD10CM:Q21.10	Atrial septal defect, unspecified	RESIDUAL	HP:0001631	
ICD10CM:Q21.16	Sinus venosus atrial septal defect, unspecified	RESIDUAL	HP:0011567	
ICD10CM:Q21.19	Other specified atrial septal defect	RESIDUAL		
ICD10CM:Q21.20	Atrioventricular septal defect, unspecified as to partial or complete	RESIDUAL		
ICD10CM:Q21.8	Other congenital malformations of cardiac septa	RESIDUAL		
ICD10CM:Q21.9	Congenital malformation of cardiac septum, unspecified	RESIDUAL		YES
ICD10CM:Q22.3	Other congenital malformations of pulmonary valve	RESIDUAL		
ICD10CM:Q22.8	Other congenital malformations of tricuspid valve	RESIDUAL		YES
ICD10CM:Q22.9	Congenital malformation of tricuspid valve, unspecified	RESIDUAL		YES
ICD10CM:Q23.8	Other congenital malformations of aortic and mitral valves	RESIDUAL		YES
ICD10CM:Q23.88	Other congenital malformations of aortic and mitral valves	RESIDUAL		
ICD10CM:Q23.9	Congenital malformation of aortic and mitral valves, unspecified	RESIDUAL		
ICD10CM:Q24	Other congenital malformations of heart	RESIDUAL		
ICD10CM:Q24.8	Other specified congenital malformations of heart	RESIDUAL		YES
ICD10CM:Q24.9	Congenital malformation of heart, unspecified	RESIDUAL		YES
ICD10CM:Q25.29	Other atresia of aorta	RESIDUAL		
ICD10CM:Q25.4	Other congenital malformations of aorta	RESIDUAL		YES
ICD10CM:Q25.40	Congenital malformation of aorta unspecified	RESIDUAL		
ICD10CM:Q25.49	Other congenital malformations of aorta	RESIDUAL		
ICD10CM:Q25.7	Other congenital malformations of pulmonary artery	RESIDUAL		YES
ICD10CM:Q25.79	Other congenital malformations of pulmonary artery	RESIDUAL		
ICD10CM:Q25.8	Other congenital malformations of other great arteries	RESIDUAL		YES
ICD10CM:Q25.9	Congenital malformation of great arteries, unspecified	RESIDUAL		
ICD10CM:Q26.4	Anomalous pulmonary venous connection, unspecified	RESIDUAL		YES
ICD10CM:Q26.8	Other congenital malformations of great veins	RESIDUAL		YES
ICD10CM:Q26.9	Congenital malformation of great vein, unspecified	RESIDUAL		YES
ICD10CM:Q27	Other congenital malformations of peripheral vascular system	RESIDUAL		
ICD10CM:Q27.2	Other congenital malformations of renal artery	RESIDUAL		
ICD10CM:Q27.30	Arteriovenous malformation, site unspecified	RESIDUAL		
ICD10CM:Q27.8	Other specified congenital malformations of peripheral vascular system	RESIDUAL		YES
ICD10CM:Q27.9	Congenital malformation of peripheral vascular system, unspecified	RESIDUAL		
ICD10CM:Q28	Other congenital malformations of circulatory system	RESIDUAL		
ICD10CM:Q28.1	Other malformations of precerebral vessels	RESIDUAL		YES
ICD10CM:Q28.3	Other malformations of cerebral vessels	RESIDUAL		YES
ICD10CM:Q28.8	Other specified congenital malformations of circulatory system	RESIDUAL		YES
ICD10CM:Q28.9	Congenital malformation of circulatory system, unspecified	RESIDUAL		
ICD10CM:Q30.8	Other congenital malformations of nose	RESIDUAL		YES
