?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/MONDO_0000091>	"MONDO:0019490"	
<http://purl.obolibrary.org/obo/MONDO_0000092>	"MONDO:0001560"	
<http://purl.obolibrary.org/obo/MONDO_0000094>		
<http://purl.obolibrary.org/obo/MONDO_0000095>	"MONDO:0016576"	
<http://purl.obolibrary.org/obo/MONDO_0000096>	"MONDO:0012580"	
<http://purl.obolibrary.org/obo/MONDO_0000097>		
<http://purl.obolibrary.org/obo/MONDO_0000098>	"MONDO:0019201"	
<http://purl.obolibrary.org/obo/MONDO_0000099>		
<http://purl.obolibrary.org/obo/MONDO_0000100>		
<http://purl.obolibrary.org/obo/MONDO_0000101>	"MONDO:0018891"	
<http://purl.obolibrary.org/obo/MONDO_0000102>		
<http://purl.obolibrary.org/obo/MONDO_0000103>	"MONDO:0019004"	
<http://purl.obolibrary.org/obo/MONDO_0000106>		
<http://purl.obolibrary.org/obo/MONDO_0000109>	"MONDO:0000720"	
<http://purl.obolibrary.org/obo/MONDO_0000112>	"MONDO:0015487"	
<http://purl.obolibrary.org/obo/MONDO_0000113>		
<http://purl.obolibrary.org/obo/MONDO_0000116>	"MONDO:0000904"	
<http://purl.obolibrary.org/obo/MONDO_0000117>	"MONDO:0000824"	
<http://purl.obolibrary.org/obo/MONDO_0000120>	"MONDO:0015998"	
<http://purl.obolibrary.org/obo/MONDO_0000121>	"MONDO:0005024"	
<http://purl.obolibrary.org/obo/MONDO_0000122>	"MONDO:0011090"	
<http://purl.obolibrary.org/obo/MONDO_0000123>	"MONDO:0018175"	
<http://purl.obolibrary.org/obo/MONDO_0000124>	"MONDO:0018363"	
<http://purl.obolibrary.org/obo/MONDO_0000125>		
<http://purl.obolibrary.org/obo/MONDO_0000126>	"MONDO:0001056"	
<http://purl.obolibrary.org/obo/MONDO_0000130>		
<http://purl.obolibrary.org/obo/MONDO_0000131>		
<http://purl.obolibrary.org/obo/MONDO_0000132>		
<http://purl.obolibrary.org/obo/MONDO_0000134>	"MONDO:0000507"	
<http://purl.obolibrary.org/obo/MONDO_0000135>	"MONDO:0016516"	
<http://purl.obolibrary.org/obo/MONDO_0000139>	"MONDO:0017950"	
<http://purl.obolibrary.org/obo/MONDO_0000140>	<http://purl.obolibrary.org/obo/MONDO_0016558>	
<http://purl.obolibrary.org/obo/MONDO_0000142>	"MONDO:0019042"	
<http://purl.obolibrary.org/obo/MONDO_0000143>		
<http://purl.obolibrary.org/obo/MONDO_0000145>		
<http://purl.obolibrary.org/obo/MONDO_0000146>	"MONDO:0015333"	
<http://purl.obolibrary.org/obo/MONDO_0000149>	"MONDO:0005283"	
<http://purl.obolibrary.org/obo/MONDO_0000150>	"MONDO:0016763"	
<http://purl.obolibrary.org/obo/MONDO_0000154>		
<http://purl.obolibrary.org/obo/MONDO_0000157>		
<http://purl.obolibrary.org/obo/MONDO_0000161>		
<http://purl.obolibrary.org/obo/MONDO_0000163>	"MONDO:0003582"	
<http://purl.obolibrary.org/obo/MONDO_0000164>	"MONDO:0005321"	
<http://purl.obolibrary.org/obo/MONDO_0000165>	"MONDO:0013311"	
<http://purl.obolibrary.org/obo/MONDO_0000168>	"MONDO:0019181"	
<http://purl.obolibrary.org/obo/MONDO_0000174>		
<http://purl.obolibrary.org/obo/MONDO_0000175>	"MONDO:0011457"	
<http://purl.obolibrary.org/obo/MONDO_0000176>	"MONDO:0019375"	
<http://purl.obolibrary.org/obo/MONDO_0000177>		
<http://purl.obolibrary.org/obo/MONDO_0000178>		
<http://purl.obolibrary.org/obo/MONDO_0000180>	"MONDO:0017411"	
<http://purl.obolibrary.org/obo/MONDO_0000183>	"MONDO:0016620"	
<http://purl.obolibrary.org/obo/MONDO_0000185>		
<http://purl.obolibrary.org/obo/MONDO_0000186>	"MONDO:0019675"	
<http://purl.obolibrary.org/obo/MONDO_0000187>	"MONDO:0010004"	
<http://purl.obolibrary.org/obo/MONDO_0000189>		
<http://purl.obolibrary.org/obo/MONDO_0000191>		
<http://purl.obolibrary.org/obo/MONDO_0000194>	"MONDO:0008163"	
<http://purl.obolibrary.org/obo/MONDO_0000195>	"MONDO:0015281"	
<http://purl.obolibrary.org/obo/MONDO_0000196>		
<http://purl.obolibrary.org/obo/MONDO_0000197>	"MONDO:0008429"	
<http://purl.obolibrary.org/obo/MONDO_0000198>		
<http://purl.obolibrary.org/obo/MONDO_0000199>	"MONDO:0021055"	
<http://purl.obolibrary.org/obo/MONDO_0000201>	"MONDO:0017896"	
<http://purl.obolibrary.org/obo/MONDO_0000202>		
<http://purl.obolibrary.org/obo/MONDO_0000203>	"MONDO:0017910"	
<http://purl.obolibrary.org/obo/MONDO_0000204>		
<http://purl.obolibrary.org/obo/MONDO_0000205>		
<http://purl.obolibrary.org/obo/MONDO_0000206>		
<http://purl.obolibrary.org/obo/MONDO_0000207>	"MONDO:0014176"	
<http://purl.obolibrary.org/obo/MONDO_0000216>		
<http://purl.obolibrary.org/obo/MONDO_0000217>	"MONDO:0010593"	
<http://purl.obolibrary.org/obo/MONDO_0000219>	"MONDO:0008621"	
<http://purl.obolibrary.org/obo/MONDO_0000220>	"MONDO:0019503"	
<http://purl.obolibrary.org/obo/MONDO_0000221>		
<http://purl.obolibrary.org/obo/MONDO_0000223>	"MONDO:0017941"	
<http://purl.obolibrary.org/obo/MONDO_0000228>	"MONDO:0005677"	
<http://purl.obolibrary.org/obo/MONDO_0000235>	"MONDO:0019359"	
<http://purl.obolibrary.org/obo/MONDO_0000246>	"MONDO:0019378"	
<http://purl.obolibrary.org/obo/MONDO_0000247>	"MONDO:0015540"	
<http://purl.obolibrary.org/obo/MONDO_0000258>	"MONDO:0015805"	
<http://purl.obolibrary.org/obo/MONDO_0000260>	"MONDO:0016575"	
<http://purl.obolibrary.org/obo/MONDO_0000264>	"MONDO:0020487"	
<http://purl.obolibrary.org/obo/MONDO_0000267>	"MONDO:0015264"	
<http://purl.obolibrary.org/obo/MONDO_0000268>	"MONDO:0009537"	
<http://purl.obolibrary.org/obo/MONDO_0000269>	"MONDO:0016595"	
<http://purl.obolibrary.org/obo/MONDO_0000272>	"MONDO:0010012"	
<http://purl.obolibrary.org/obo/MONDO_0000274>	"MONDO:0017572"	
<http://purl.obolibrary.org/obo/MONDO_0000277>	"MONDO:0017874"	
<http://purl.obolibrary.org/obo/MONDO_0000278>	"MONDO:0017875"	
<http://purl.obolibrary.org/obo/MONDO_0000279>	"MONDO:0017876"	
<http://purl.obolibrary.org/obo/MONDO_0000280>	"MONDO:0017877"	
<http://purl.obolibrary.org/obo/MONDO_0000281>	"MONDO:0017878"	
<http://purl.obolibrary.org/obo/MONDO_0000285>	"MONDO:0017872"	
<http://purl.obolibrary.org/obo/MONDO_0000287>	"MONDO:0018556"	
<http://purl.obolibrary.org/obo/MONDO_0000289>	"MONDO:0018039"	
<http://purl.obolibrary.org/obo/MONDO_0000296>	"MONDO:0019143"	
<http://purl.obolibrary.org/obo/MONDO_0000300>	"MONDO:0019498"	
<http://purl.obolibrary.org/obo/MONDO_0000305>	"MONDO:0016426"	
<http://purl.obolibrary.org/obo/MONDO_0000311>	"MONDO:0018612"	
<http://purl.obolibrary.org/obo/MONDO_0000312>	"MONDO:0023069"	
<http://purl.obolibrary.org/obo/MONDO_0000317>	"MONDO:0016453"	
<http://purl.obolibrary.org/obo/MONDO_0000318>	"MONDO:0015803"	
<http://purl.obolibrary.org/obo/MONDO_0000319>	"MONDO:0015804"	
<http://purl.obolibrary.org/obo/MONDO_0000322>	"MONDO:0018984"	
<http://purl.obolibrary.org/obo/MONDO_0000323>	"MONDO:0008279"	
<http://purl.obolibrary.org/obo/MONDO_0000324>	"MONDO:0020088"	
<http://purl.obolibrary.org/obo/MONDO_0000325>	"MONDO:0016471"	
<http://purl.obolibrary.org/obo/MONDO_0000326>	"MONDO:0018838"	
<http://purl.obolibrary.org/obo/MONDO_0000329>	"MONDO:0019362"	
<http://purl.obolibrary.org/obo/MONDO_0000347>	"MONDO:0019471"	
<http://purl.obolibrary.org/obo/MONDO_0000348>	"HP:0001115"	
<http://purl.obolibrary.org/obo/MONDO_0000349>	"MONDO:0019011"	
<http://purl.obolibrary.org/obo/MONDO_0000350>	"MONDO:0018778"	
<http://purl.obolibrary.org/obo/MONDO_0000352>	"MONDO:0015364"	
<http://purl.obolibrary.org/obo/MONDO_0000353>	"MONDO:0019663"	
<http://purl.obolibrary.org/obo/MONDO_0000354>	"MONDO:0017959"	
<http://purl.obolibrary.org/obo/MONDO_0000356>	"MONDO:0019523"	
<http://purl.obolibrary.org/obo/MONDO_0000357>	"MONDO:0018097"	
<http://purl.obolibrary.org/obo/MONDO_0000360>	"MONDO:0016001"	
<http://purl.obolibrary.org/obo/MONDO_0000361>	"MONDO:0010924"	
<http://purl.obolibrary.org/obo/MONDO_0000362>	"MONDO:0009032"	
<http://purl.obolibrary.org/obo/MONDO_0000364>	"MONDO:0018542"	
<http://purl.obolibrary.org/obo/MONDO_0000370>	"MONDO:0006094"	
<http://purl.obolibrary.org/obo/MONDO_0000388>		"MONDO:0008798"
<http://purl.obolibrary.org/obo/MONDO_0000391>	"MONDO:0008029"	
<http://purl.obolibrary.org/obo/MONDO_0000392>	"MONDO:0016011"	
<http://purl.obolibrary.org/obo/MONDO_0000394>	"MONDO:0016011"	
<http://purl.obolibrary.org/obo/MONDO_0000398>	"MONDO:0004379"	
<http://purl.obolibrary.org/obo/MONDO_0000401>	"MONDO:0018841"	
<http://purl.obolibrary.org/obo/MONDO_0000403>	"MONDO:0004992"	
<http://purl.obolibrary.org/obo/MONDO_0000404>	"MONDO:0004992"	
<http://purl.obolibrary.org/obo/MONDO_0000418>	"MONDO:0016021"	
<http://purl.obolibrary.org/obo/MONDO_0000419>	"MONDO:0018950"	
<http://purl.obolibrary.org/obo/MONDO_0000420>	"MONDO:0013110"	
<http://purl.obolibrary.org/obo/MONDO_0000422>	"MONDO:0002412"	
<http://purl.obolibrary.org/obo/MONDO_0000423>	"MONDO:0018151"	
<http://purl.obolibrary.org/obo/MONDO_0000427>	"MONDO:0006025"	
<http://purl.obolibrary.org/obo/MONDO_0000431>	"MONDO:0018876"	
<http://purl.obolibrary.org/obo/MONDO_0000433>	"MONDO:0006495"	
<http://purl.obolibrary.org/obo/MONDO_0000434>	"MONDO:0000430"	
<http://purl.obolibrary.org/obo/MONDO_0000435>	"MONDO:0006431"	
<http://purl.obolibrary.org/obo/MONDO_0000436>	"MONDO:0019469"	
<http://purl.obolibrary.org/obo/MONDO_0000438>	"MONDO:0018996"	
<http://purl.obolibrary.org/obo/MONDO_0000439>	"MONDO:0019262"	
<http://purl.obolibrary.org/obo/MONDO_0000441>	"MONDO:0010684"	
<http://purl.obolibrary.org/obo/MONDO_0000442>	"MONDO:0007100"	
<http://purl.obolibrary.org/obo/MONDO_0000443>	"MONDO:0007068"	
<http://purl.obolibrary.org/obo/MONDO_0000444>	"MONDO:0017123"	
<http://purl.obolibrary.org/obo/MONDO_0000445>	"MONDO:0016987"	
<http://purl.obolibrary.org/obo/MONDO_0000449>	"MONDO:0017138"	
<http://purl.obolibrary.org/obo/MONDO_0000454>	"MONDO:0017923"	
<http://purl.obolibrary.org/obo/MONDO_0000464>	"MONDO:0019353"	
<http://purl.obolibrary.org/obo/MONDO_0000472>	"MONDO:0006955"	
<http://purl.obolibrary.org/obo/MONDO_0000475>	"MONDO:0019238"	
<http://purl.obolibrary.org/obo/MONDO_0000484>	"MONDO:0019771"	
<http://purl.obolibrary.org/obo/MONDO_0000493>	"MONDO:0008633"	
<http://purl.obolibrary.org/obo/MONDO_0000501>	"MONDO:0010578"	
<http://purl.obolibrary.org/obo/MONDO_0000504>	"MONDO:0018906"	
<http://purl.obolibrary.org/obo/MONDO_0000505>	"MONDO:0000402"	
<http://purl.obolibrary.org/obo/MONDO_0000506>	"MONDO:0010913"	
<http://purl.obolibrary.org/obo/MONDO_0000511>	"MONDO:0006216"	
<http://purl.obolibrary.org/obo/MONDO_0000512>	"MONDO:0017795"	
<http://purl.obolibrary.org/obo/MONDO_0000522>	"MONDO:0015798"	
<http://purl.obolibrary.org/obo/MONDO_0000523>	"MONDO:0006172"	
<http://purl.obolibrary.org/obo/MONDO_0000526>	"MONDO:0006091"	
<http://purl.obolibrary.org/obo/MONDO_0000528>	<http://purl.obolibrary.org/obo/MONDO_0005008>	
<http://purl.obolibrary.org/obo/MONDO_0000529>	<http://purl.obolibrary.org/obo/MONDO_0005484>	
<http://purl.obolibrary.org/obo/MONDO_0000533>	"MONDO:0015867"	
<http://purl.obolibrary.org/obo/MONDO_0000537>	"MONDO:0006181"	
<http://purl.obolibrary.org/obo/MONDO_0000538>	"MONDO:0006466"	
<http://purl.obolibrary.org/obo/MONDO_0000542>	"MONDO:0006187"	
<http://purl.obolibrary.org/obo/MONDO_0000546>	"MONDO:0006356"	
<http://purl.obolibrary.org/obo/MONDO_0000547>	"MONDO:0005211"	
<http://purl.obolibrary.org/obo/MONDO_0000555>	"MONDO:0017324"	
<http://purl.obolibrary.org/obo/MONDO_0000556>	"MONDO:0015244"	
<http://purl.obolibrary.org/obo/MONDO_0000558>	"MONDO:0017845"	
<http://purl.obolibrary.org/obo/MONDO_0000559>	<http://purl.obolibrary.org/obo/MONDO_0016612>	
<http://purl.obolibrary.org/obo/MONDO_0000560>	"MONDO:0010847"	
<http://purl.obolibrary.org/obo/MONDO_0000562>		
<http://purl.obolibrary.org/obo/MONDO_0000564>	"MONDO:0009133"	
<http://purl.obolibrary.org/obo/MONDO_0000566>	"MONDO:0005567"	
<http://purl.obolibrary.org/obo/MONDO_0000567>	"MONDO:0007361"	
<http://purl.obolibrary.org/obo/MONDO_0000570>	"MONDO:0011225"	
<http://purl.obolibrary.org/obo/MONDO_0000571>	"MONDO:0012426"	
<http://purl.obolibrary.org/obo/MONDO_0000574>	"MONDO:0015702"	
<http://purl.obolibrary.org/obo/MONDO_0000575>	<http://purl.obolibrary.org/obo/MONDO_0015701>	
<http://purl.obolibrary.org/obo/MONDO_0000576>	"MONDO:0014280"	
<http://purl.obolibrary.org/obo/MONDO_0000578>	"MONDO:0014276"	
<http://purl.obolibrary.org/obo/MONDO_0000579>	"MONDO:0014168"	
<http://purl.obolibrary.org/obo/MONDO_0000580>	"MONDO:0010626"	
<http://purl.obolibrary.org/obo/MONDO_0000582>	"MONDO:0000048"	
<http://purl.obolibrary.org/obo/MONDO_0000585>	"MONDO:0015696"	
<http://purl.obolibrary.org/obo/MONDO_0000593>	"MONDO:0017841"	
<http://purl.obolibrary.org/obo/MONDO_0000604>	"MONDO:0001300"	
<http://purl.obolibrary.org/obo/MONDO_0000609>	"MONDO:0010524"	
<http://purl.obolibrary.org/obo/MONDO_0000613>	"MONDO:0006512"	
<http://purl.obolibrary.org/obo/MONDO_0000614>	"MONDO:0006513"	
<http://purl.obolibrary.org/obo/MONDO_0000617>	"MONDO:0006244"	
<http://purl.obolibrary.org/obo/MONDO_0000619>	"MONDO:0005494"	
<http://purl.obolibrary.org/obo/MONDO_0000622>	"MONDO:0005165"	
<http://purl.obolibrary.org/obo/MONDO_0000623>	"MONDO:0005165"	
<http://purl.obolibrary.org/obo/MONDO_0000635>	"MONDO:0018936"	
<http://purl.obolibrary.org/obo/MONDO_0000641>	"MONDO:0007959"	
<http://purl.obolibrary.org/obo/MONDO_0000655>	"MONDO:0019464"	
<http://purl.obolibrary.org/obo/MONDO_0000656>	"MONDO:0015045"	
<http://purl.obolibrary.org/obo/MONDO_0000657>	"MONDO:0015046"	
<http://purl.obolibrary.org/obo/MONDO_0000658>	"MONDO:0015044"	
<http://purl.obolibrary.org/obo/MONDO_0000689>	"MONDO:0009669"	
<http://purl.obolibrary.org/obo/MONDO_0000691>	"MONDO:0021668"	
<http://purl.obolibrary.org/obo/MONDO_0000692>	"MONDO:0007863"	
<http://purl.obolibrary.org/obo/MONDO_0000695>	"MONDO:0009345"	
<http://purl.obolibrary.org/obo/MONDO_0000696>	"MONDO:0011876"	
<http://purl.obolibrary.org/obo/MONDO_0000697>	"MONDO:0010083"	
<http://purl.obolibrary.org/obo/MONDO_0000699>	"MONDO:0009351"	
<http://purl.obolibrary.org/obo/MONDO_0000711>	"MONDO:0008458"	
<http://purl.obolibrary.org/obo/MONDO_0000713>	"MONDO:0016430"	
<http://purl.obolibrary.org/obo/MONDO_0000714>	"MONDO:0019563"	
<http://purl.obolibrary.org/obo/MONDO_0000717>	"MONDO:0008715"	
<http://purl.obolibrary.org/obo/MONDO_0000718>	"MONDO:0007034"	
<http://purl.obolibrary.org/obo/MONDO_0000719>	"MONDO:0017579"	
<http://purl.obolibrary.org/obo/MONDO_0000720>	"MONDO:0008947"	
<http://purl.obolibrary.org/obo/MONDO_0000725>	"MONDO:0010731"	
<http://purl.obolibrary.org/obo/MONDO_0000729>	"MONDO:0008340"	
<http://purl.obolibrary.org/obo/MONDO_0000730>	"MONDO:0020135"	
<http://purl.obolibrary.org/obo/MONDO_0000731>	"MONDO:0019347"	
<http://purl.obolibrary.org/obo/MONDO_0000735>	"MONDO:0008111"	
<http://purl.obolibrary.org/obo/MONDO_0000737>	"MONDO:0009576"	
<http://purl.obolibrary.org/obo/MONDO_0000738>	"MONDO:0020119"	
<http://purl.obolibrary.org/obo/MONDO_0000742>	"HP:0008940"	
<http://purl.obolibrary.org/obo/MONDO_0000752>	"MONDO:0019773"	
<http://purl.obolibrary.org/obo/MONDO_0000753>	"MONDO:0019015"	
<http://purl.obolibrary.org/obo/MONDO_0000759>	"MONDO:0007059"	
<http://purl.obolibrary.org/obo/MONDO_0000760>	"MONDO:0018237"	
<http://purl.obolibrary.org/obo/MONDO_0000765>	"MONDO:0020213"	
<http://purl.obolibrary.org/obo/MONDO_0000767>	"MONDO:0005563"	
<http://purl.obolibrary.org/obo/MONDO_0000768>	"MONDO:0018661"	
<http://purl.obolibrary.org/obo/MONDO_0000792>		
<http://purl.obolibrary.org/obo/MONDO_0000808>	"MONDO:0006243"	
<http://purl.obolibrary.org/obo/MONDO_0000810>	"MONDO:0010542"	
<http://purl.obolibrary.org/obo/MONDO_0000817>	<http://purl.obolibrary.org/obo/MONDO_0010015>	
<http://purl.obolibrary.org/obo/MONDO_0000818>	"MONDO:0013965"	
<http://purl.obolibrary.org/obo/MONDO_0000821>	<http://purl.obolibrary.org/obo/MONDO_0011305>	
<http://purl.obolibrary.org/obo/MONDO_0000822>	"MONDO:0016537"	
<http://purl.obolibrary.org/obo/MONDO_0000825>	"MONDO:0019046"	
<http://purl.obolibrary.org/obo/MONDO_0000826>	"MONDO:0010306"	
<http://purl.obolibrary.org/obo/MONDO_0000829>	"MONDO:0017279"	
<http://purl.obolibrary.org/obo/MONDO_0000830>	"MONDO:0007926"	
<http://purl.obolibrary.org/obo/MONDO_0000832>	"MONDO:0005170"	
<http://purl.obolibrary.org/obo/MONDO_0000835>	"MONDO:0005380"	
<http://purl.obolibrary.org/obo/MONDO_0000838>	"MONDO:0019040"	
<http://purl.obolibrary.org/obo/MONDO_0000842>	<http://purl.obolibrary.org/obo/MONDO_0007982>	
<http://purl.obolibrary.org/obo/MONDO_0000843>	<http://purl.obolibrary.org/obo/MONDO_0009833>	
<http://purl.obolibrary.org/obo/MONDO_0000846>	"MONDO:0009031"	
<http://purl.obolibrary.org/obo/MONDO_0000847>	"MONDO:0009940"	
<http://purl.obolibrary.org/obo/MONDO_0000848>	"MONDO:0007181"	
<http://purl.obolibrary.org/obo/MONDO_0000850>	"MONDO:0007793"	
<http://purl.obolibrary.org/obo/MONDO_0000851>	"MONDO:0019648"	
<http://purl.obolibrary.org/obo/MONDO_0000852>	"MONDO:0019669"	
<http://purl.obolibrary.org/obo/MONDO_0000853>	"MONDO:0007987"	
<http://purl.obolibrary.org/obo/MONDO_0000854>	"MONDO:0019354"	
<http://purl.obolibrary.org/obo/MONDO_0000855>	"MONDO:0019696"	
<http://purl.obolibrary.org/obo/MONDO_0000856>	"MONDO:0019551"	
<http://purl.obolibrary.org/obo/MONDO_0000857>		
<http://purl.obolibrary.org/obo/MONDO_0000860>	"MONDO:0018075"	
<http://purl.obolibrary.org/obo/MONDO_0000861>	"MONDO:0008051"	
<http://purl.obolibrary.org/obo/MONDO_0000862>	"MONDO:0019948"	
<http://purl.obolibrary.org/obo/MONDO_0000864>	"MONDO:0019952"	
<http://purl.obolibrary.org/obo/MONDO_0000867>	"MONDO:0017415"	
<http://purl.obolibrary.org/obo/MONDO_0000868>		"MONDO:0009747"
<http://purl.obolibrary.org/obo/MONDO_0000869>	"MONDO:0007614"	
<http://purl.obolibrary.org/obo/MONDO_0000876>	"MONDO:0015288"	
<http://purl.obolibrary.org/obo/MONDO_0000877>	"MONDO:0005723"	
<http://purl.obolibrary.org/obo/MONDO_0000880>	"MONDO:0005556"	
<http://purl.obolibrary.org/obo/MONDO_0000885>	"MONDO:0009774"	
<http://purl.obolibrary.org/obo/MONDO_0000886>	"MONDO:0006852"	
<http://purl.obolibrary.org/obo/MONDO_0000887>	"MONDO:0019514"	
<http://purl.obolibrary.org/obo/MONDO_0000896>	"MONDO:0006148"	
<http://purl.obolibrary.org/obo/MONDO_0000897>	"MONDO:0020311"	
<http://purl.obolibrary.org/obo/MONDO_0000899>	"MONDO:0015523"	
<http://purl.obolibrary.org/obo/MONDO_0000900>	"MONDO:0017623"	
<http://purl.obolibrary.org/obo/MONDO_0000905>	"MONDO:0000193"	
<http://purl.obolibrary.org/obo/MONDO_0000906>	"MONDO:0011194"	
<http://purl.obolibrary.org/obo/MONDO_0000907>	"MONDO:0008770"	
<http://purl.obolibrary.org/obo/MONDO_0000915>	<http://purl.obolibrary.org/obo/MONDO_0007930>	
<http://purl.obolibrary.org/obo/MONDO_0000917>	"MONDO:0019962"	
<http://purl.obolibrary.org/obo/MONDO_0000932>	"MONDO:0005208"	
<http://purl.obolibrary.org/obo/MONDO_0000985>	"MONDO:0016003"	
<http://purl.obolibrary.org/obo/MONDO_0000998>	"MONDO:0005899"	
<http://purl.obolibrary.org/obo/MONDO_0000999>	"MONDO:0015926"	
<http://purl.obolibrary.org/obo/MONDO_0001002>	"MONDO:0008346"	
<http://purl.obolibrary.org/obo/MONDO_0001010>	"MONDO:0019470"	
<http://purl.obolibrary.org/obo/MONDO_0001013>	"MONDO:0006118"	
<http://purl.obolibrary.org/obo/MONDO_0001026>	"MONDO:0005113"	
<http://purl.obolibrary.org/obo/MONDO_0001043>	"MONDO:0005728"	
<http://purl.obolibrary.org/obo/MONDO_0001047>	"MONDO:0000004"	
<http://purl.obolibrary.org/obo/MONDO_0001069>	"MONDO:0019046"	
<http://purl.obolibrary.org/obo/MONDO_0001070>	"MONDO:0018544"	
<http://purl.obolibrary.org/obo/MONDO_0001077>	"MONDO:0015183"	
<http://purl.obolibrary.org/obo/MONDO_0001097>	"MONDO:0020367"	
<http://purl.obolibrary.org/obo/MONDO_0001102>	"MONDO:0017203"	
<http://purl.obolibrary.org/obo/MONDO_0001107>	"MONDO:0020143"	
<http://purl.obolibrary.org/obo/MONDO_0001111>	"MONDO:0018896"	
<http://purl.obolibrary.org/obo/MONDO_0001124>	"MONDO:0016075"	
