defined_class	defined_class_label	chromosomal_region	chromosomal_region_label
http://purl.obolibrary.org/obo/MONDO_0016953	partial duplication of the long arm of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2q	2q (Human)
http://purl.obolibrary.org/obo/MONDO_0016972	partial duplication of the long arm of chromosome 22	http://purl.obolibrary.org/obo/CHR_9606-chr22q	22q (Human)
http://purl.obolibrary.org/obo/MONDO_0016954	partial duplication of the long arm of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3q	3q (Human)
http://purl.obolibrary.org/obo/MONDO_0016955	partial duplication of the long arm of chromosome 4	http://purl.obolibrary.org/obo/CHR_9606-chr4q	4q (Human)
http://purl.obolibrary.org/obo/MONDO_0016957	partial duplication of the long arm of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6q	6q (Human)
http://purl.obolibrary.org/obo/MONDO_0016958	partial duplication of the long arm of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7q	7q (Human)
http://purl.obolibrary.org/obo/MONDO_0016959	partial duplication of the long arm of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8q	8q (Human)
http://purl.obolibrary.org/obo/MONDO_0017010	partial duplication of the long arm of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrXq	Xq (Human)
http://purl.obolibrary.org/obo/MONDO_0017012	partial duplication of the short arm of chromosome 1	http://purl.obolibrary.org/obo/CHR_9606-chr1p	1p (Human)
http://purl.obolibrary.org/obo/MONDO_0016947	partial duplication of the short arm of chromosome 10	http://purl.obolibrary.org/obo/CHR_9606-chr10p	10p (Human)
http://purl.obolibrary.org/obo/MONDO_0016948	partial duplication of the short arm of chromosome 11	http://purl.obolibrary.org/obo/CHR_9606-chr11p	11p (Human)
http://purl.obolibrary.org/obo/MONDO_0016949	partial duplication of the short arm of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16p	16p (Human)
http://purl.obolibrary.org/obo/MONDO_0016950	partial duplication of the short arm of chromosome 17	http://purl.obolibrary.org/obo/CHR_9606-chr17p	17p (Human)
http://purl.obolibrary.org/obo/MONDO_0018659	partial duplication of the short arm of chromosome 19	http://purl.obolibrary.org/obo/CHR_9606-chr19p	19p (Human)
http://purl.obolibrary.org/obo/MONDO_0016939	partial duplication of the short arm of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2p	2p (Human)
http://purl.obolibrary.org/obo/MONDO_0016940	partial duplication of the short arm of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3p	3p (Human)
http://purl.obolibrary.org/obo/MONDO_0016941	partial duplication of the short arm of chromosome 4	http://purl.obolibrary.org/obo/CHR_9606-chr4p	4p (Human)
http://purl.obolibrary.org/obo/MONDO_0016943	partial duplication of the short arm of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6p	6p (Human)
http://purl.obolibrary.org/obo/MONDO_0016944	partial duplication of the short arm of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7p	7p (Human)
http://purl.obolibrary.org/obo/MONDO_0016945	partial duplication of the short arm of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8p	8p (Human)
http://purl.obolibrary.org/obo/MONDO_0017009	partial duplication of the short arm of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrXp	Xp (Human)
http://purl.obolibrary.org/obo/MONDO_0016966	partial trisomy of the long arm of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16q	16q (Human)
http://purl.obolibrary.org/obo/MONDO_0016968	partial trisomy of the long arm of chromosome 18	http://purl.obolibrary.org/obo/CHR_9606-chr18q	18q (Human)
http://purl.obolibrary.org/obo/MONDO_0016970	partial trisomy of the long arm of chromosome 20	http://purl.obolibrary.org/obo/CHR_9606-chr20q	20q (Human)
http://purl.obolibrary.org/obo/MONDO_0016956	partial trisomy of the long arm of chromosome 5	http://purl.obolibrary.org/obo/CHR_9606-chr5q	5q (Human)
http://purl.obolibrary.org/obo/MONDO_0016960	partial trisomy of the long arm of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9q	9q (Human)
http://purl.obolibrary.org/obo/MONDO_0016946	partial trisomy of the short arm of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9p	9p (Human)
