defined_class	defined_class_label	disease	disease_label	process	process_label
http://purl.obolibrary.org/obo/MONDO_0019254	inborn disorder of purine or pyrimidine metabolism	http://purl.obolibrary.org/obo/MONDO_0019052	inborn errors of metabolism	http://purl.obolibrary.org/obo/GO_0009117	nucleotide metabolic process
http://purl.obolibrary.org/obo/MONDO_0037858	inherited fatty acid metabolism disorder	http://purl.obolibrary.org/obo/MONDO_0019052	inborn errors of metabolism	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0002525	inherited lipid metabolism disorder	http://purl.obolibrary.org/obo/MONDO_0019052	inborn errors of metabolism	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process
http://purl.obolibrary.org/obo/MONDO_0001356	iron deficiency anemia	http://purl.obolibrary.org/obo/MONDO_0002280	anemia	http://purl.obolibrary.org/obo/GO_0006879	cellular iron ion homeostasis
http://purl.obolibrary.org/obo/MONDO_0045011	keratinization disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0031424	keratinization
http://purl.obolibrary.org/obo/MONDO_0045019	lactation disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007595	lactation
http://purl.obolibrary.org/obo/MONDO_0020598	malabsorption syndrome	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0050892	intestinal absorption
http://purl.obolibrary.org/obo/MONDO_0016800	mitochondrial membrane transport disorder	http://purl.obolibrary.org/obo/MONDO_0004069	inborn mitochondrial metabolism disorder	http://purl.obolibrary.org/obo/GO_1990542	mitochondrial transmembrane transport
http://purl.obolibrary.org/obo/MONDO_0016387	mitochondrial oxidative phosphorylation disorder	http://purl.obolibrary.org/obo/MONDO_0004069	inborn mitochondrial metabolism disorder	http://purl.obolibrary.org/obo/GO_0006119	oxidative phosphorylation
http://purl.obolibrary.org/obo/MONDO_0005371	mood disorder	http://purl.obolibrary.org/obo/MONDO_0002025	psychiatric disorder	http://purl.obolibrary.org/obo/MFOEM_000193	
http://purl.obolibrary.org/obo/MONDO_0019056	neuromuscular disease	http://purl.obolibrary.org/obo/MONDO_0005071	nervous system disorder	http://purl.obolibrary.org/obo/GO_0050905	neuromuscular process
http://purl.obolibrary.org/obo/MONDO_0040674	orgasm disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/MF_0000061	orgasm
http://purl.obolibrary.org/obo/MONDO_0024417	perceptual disorders	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007600	sensory perception
http://purl.obolibrary.org/obo/MONDO_0024627	phagocytic cell dysfunction	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0006909	phagocytosis
http://purl.obolibrary.org/obo/MONDO_0002319	phosphorus metabolism disease	http://purl.obolibrary.org/obo/MONDO_0000226	mineral metabolism disease	http://purl.obolibrary.org/obo/GO_0006793	phosphorus metabolic process
http://purl.obolibrary.org/obo/MONDO_0006600	pigmentation disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0043473	pigmentation
http://purl.obolibrary.org/obo/MONDO_0002025	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/MF_0000020	mental process
http://purl.obolibrary.org/obo/MONDO_0100081	sleep disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/MONDO_0021084	vision disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007601	visual perception
http://purl.obolibrary.org/obo/MONDO_0043862	voice disorders	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0071625	vocalization behavior
http://purl.obolibrary.org/obo/MONDO_0000721	xanthinuria	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://purl.obolibrary.org/obo/GO_0046110	xanthine metabolic process
