id	subject	predicate	object	relation	knowledge_source
urn:uuid:a87c921e-2bdb-4b17-9834-233488e30e11	MONDO:0014005	biolink:subclass_of	MONDO:0002350	rdfs:subClassOf	mondo-rare.json
urn:uuid:8d181924-b73c-4ed5-ae82-d7cba031adcc	MONDO:0014005	biolink:subclass_of	MONDO:0005334	rdfs:subClassOf	mondo-rare.json
urn:uuid:da9706db-c303-449a-be69-ce5d496df68b	MONDO:0014005	biolink:subclass_of	MONDO:0018904	rdfs:subClassOf	mondo-rare.json
urn:uuid:5b97836d-09e0-4375-8a0d-f0dde3999860	MONDO:0014006	biolink:subclass_of	MONDO:0002320	rdfs:subClassOf	mondo-rare.json
urn:uuid:f215f425-a1bb-4906-a795-42fb87501405	MONDO:0014006	biolink:subclass_of	MONDO:0015159	rdfs:subClassOf	mondo-rare.json
urn:uuid:b5ac630d-3029-4d45-adda-4252fe95c997	MONDO:0014006	biolink:subclass_of	MONDO:0100601	rdfs:subClassOf	mondo-rare.json
urn:uuid:e724ea2d-b455-46f0-8ed3-83e0acc2f809	MONDO:0014007	biolink:subclass_of	MONDO:0018866	rdfs:subClassOf	mondo-rare.json
urn:uuid:41486282-9301-472f-a639-f7eff1afc12d	MONDO:0014007	biolink:subclass_of	MONDO:0700261	rdfs:subClassOf	mondo-rare.json
urn:uuid:0fe50ee8-ef60-42c9-957c-de9325f4bc69	MONDO:0014009	biolink:subclass_of	MONDO:0019306	rdfs:subClassOf	mondo-rare.json
urn:uuid:09fe4c13-a7b9-4591-a7e1-3fdd0987e394	MONDO:0014010	biolink:subclass_of	MONDO:0019306	rdfs:subClassOf	mondo-rare.json
urn:uuid:5d92a8be-39ff-4451-b715-c60455eae523	MONDO:0014011	biolink:subclass_of	MONDO:0019306	rdfs:subClassOf	mondo-rare.json
urn:uuid:231c00a8-7bd4-40e7-a69a-62531a14d43a	MONDO:0014012	biolink:subclass_of	MONDO:0018993	rdfs:subClassOf	mondo-rare.json
urn:uuid:daeee60e-5d78-4ea8-b7c5-d1d67824e014	MONDO:0014013	biolink:subclass_of	MONDO:0004573	rdfs:subClassOf	mondo-rare.json
urn:uuid:544f6b64-f7d3-48e4-a356-411e66ecd310	MONDO:0014013	biolink:subclass_of	MONDO:0017757	rdfs:subClassOf	mondo-rare.json
urn:uuid:4d45675e-c3f4-4f68-a228-9549cd523d47	MONDO:0014014	biolink:subclass_of	MONDO:0017610	rdfs:subClassOf	mondo-rare.json
urn:uuid:3da7e6f3-00ff-43ed-be45-9c144fdf2c07	MONDO:0014014	biolink:related_to	http://identifiers.org/hgnc/30578	RO:0004003	mondo-rare.json
urn:uuid:d9e495f3-cb2e-4d40-ab19-810268ee45f4	MONDO:0014015	biolink:subclass_of	MONDO:0019064	rdfs:subClassOf	mondo-rare.json
urn:uuid:70bc10b5-e9ba-43a0-87d8-044d3a12a175	MONDO:0014016	biolink:subclass_of	MONDO:0015150	rdfs:subClassOf	mondo-rare.json
urn:uuid:0083c317-5cd9-4d19-8661-87d30de1df24	MONDO:0014017	biolink:subclass_of	MONDO:0020836	rdfs:subClassOf	mondo-rare.json
urn:uuid:00dbfa92-4dfa-4dd1-9c1e-33d67bfea276	MONDO:0014018	biolink:subclass_of	MONDO:0015150	rdfs:subClassOf	mondo-rare.json
urn:uuid:4c0a0992-966a-4bb9-bd33-c91541827ad1	MONDO:0014019	biolink:subclass_of	MONDO:0015990	rdfs:subClassOf	mondo-rare.json
urn:uuid:eb80e516-6065-4f07-9e0e-d2425e73cb00	MONDO:0014020	biolink:subclass_of	MONDO:0015150	rdfs:subClassOf	mondo-rare.json
urn:uuid:3c1c3aae-8355-40b5-84ca-069c9623ff8c	MONDO:0014020	biolink:subclass_of	MONDO:0016387	rdfs:subClassOf	mondo-rare.json
urn:uuid:dd3788e6-9eed-4456-a14c-1bd2819f60f6	MONDO:0014021	biolink:subclass_of	MONDO:0018319	rdfs:subClassOf	mondo-rare.json
urn:uuid:f586687b-af14-4ddd-a96c-e7407d9f31f0	MONDO:0014022	biolink:subclass_of	MONDO:0000171	rdfs:subClassOf	mondo-rare.json
urn:uuid:22cf9a00-f0a1-463b-b1e6-10a69bdd9ee9	MONDO:0014022	biolink:subclass_of	MONDO:0018939	rdfs:subClassOf	mondo-rare.json
urn:uuid:33f03aa9-d2a0-4934-a2eb-f2d77928e972	MONDO:0014023	biolink:subclass_of	MONDO:0005500	rdfs:subClassOf	mondo-rare.json
urn:uuid:8028e719-22a4-45a4-9e23-1c079abcb470	MONDO:0014023	biolink:subclass_of	MONDO:0017749	rdfs:subClassOf	mondo-rare.json
urn:uuid:464acad3-59b1-4b59-ab60-8a7e7a629269	MONDO:0014023	biolink:subclass_of	MONDO:0018276	rdfs:subClassOf	mondo-rare.json
urn:uuid:af455a2d-b236-45cb-b5cf-42d269201e53	MONDO:0014024	biolink:subclass_of	MONDO:0015150	rdfs:subClassOf	mondo-rare.json
urn:uuid:6ed6fa0d-8252-4bbe-a717-01971d762614	MONDO:0014025	biolink:subclass_of	MONDO:0019079	rdfs:subClassOf	mondo-rare.json
urn:uuid:200482a9-2494-41c9-9271-78d0c8853498	MONDO:0014025	biolink:related_to	http://identifiers.org/hgnc/15559	RO:0004003	mondo-rare.json
urn:uuid:6f822d27-5b8a-489a-8d65-921cf39af5ec	MONDO:0014026	biolink:subclass_of	MONDO:0016293	rdfs:subClassOf	mondo-rare.json
urn:uuid:c80ad02f-01d3-4657-87eb-d97c27a9ac51	MONDO:0014026	biolink:subclass_of	MONDO:1040035	rdfs:subClassOf	mondo-rare.json
urn:uuid:6ea1d4e8-10d6-4d78-8112-268377f624dd	MONDO:0014027	biolink:subclass_of	MONDO:0003037	rdfs:subClassOf	mondo-rare.json
urn:uuid:07778e59-23c4-4210-9212-b4bdd89e99f2	MONDO:0014027	biolink:subclass_of	MONDO:0018914	rdfs:subClassOf	mondo-rare.json
urn:uuid:8d8ac166-053d-42af-89af-8e90c8db9069	MONDO:0014028	biolink:subclass_of	MONDO:0019942	rdfs:subClassOf	mondo-rare.json
urn:uuid:e2b9fa3e-1d47-4c25-bad8-dbd08eaf98c7	MONDO:0014029	biolink:subclass_of	MONDO:0800064	rdfs:subClassOf	mondo-rare.json
urn:uuid:660c49d9-97df-4fe4-b3ad-2afa52043773	MONDO:0014030	biolink:subclass_of	MONDO:0016575	rdfs:subClassOf	mondo-rare.json
